खुले में शौच यानी बीमारियों को निमंत्रण,തുറന്ന മലമൂത്രവിസർജ്ജനം എന്നാൽ രോഗങ്ങളിലേക്കുള്ള ക്ഷണം എന്നാണ്
नाना पाटेकर एंग्री,നാന പട്ടേക്കർ ദേഷ്യം
यार,സുഹൃത്തേ
बड़ा भाई,വലിയ സഹോദരൻ
बेस्ट भाई,മികച്ച സഹോദരൻ
दोस्त,സുഹൃത്ത്
दोस्ती,സൗഹൃദം
यारी,യാരി
बॉडी,ശരീരം
चेस्ट,നെഞ്ച്
शुबरात्रि,ഗുഡ് നൈറ്റ്
रात्रि,രാത്രി
नींद,ഉറങ്ങുക
सोना,സ്വർണം
सपने,സ്വപ്നങ്ങൾ
मीठे सपने,മധുര സ്വപ്നങ്ങൾ
चाँद,ചന്ദ്രൻ
तारे,നക്ഷത്രങ്ങൾ
बकरी,ആട്
लेटना,കിടക്കുക
पार्टी,പാർട്ടി
कुशिया,കുസിയ
महोत्सव,ഉത്സവം
जशन,ജഷാൻ
जन्मदिन,ജന്മദിനം
मुबारक,സന്തോഷം
ब्रेकअप,ബ്രേക്ക്അപ്പ്
गुब्बारे,ബലൂണുകൾ
मज़्ज़े,ആസ്വദിക്കൂ
मस्ती,തമാശ
घूमना,കറങ്ങാൻ
मिलना,കണ്ടുമുട്ടാൻ
याद,ഓർമ്മിക്കുക
यादे,ഓർമ്മിക്കുക
कुत्ता,നായ
प्यार,സ്നേഹം
मिस,മിസ്
क्यूट,ക്യൂട്ട്
बाते,സംസാരിക്കുന്നു
काम,ജോലി
कुछ नई,പുതിയത്
हेल्लो,ഹലോ
नमस्ते,ഹലോ
बिजी,തിരക്കിലാണ്
किधर,എവിടെ
कहा,പറഞ്ഞു
क्यों,എന്തുകൊണ്ട്
जगह,സ്ഥലം
समय,സമയം
टाइम,സമയം
जाना,പോകാൻ
आना,വരാൻ
घुम,കറങ്ങുക
पता नहीं,അറിയില്ല
पास,സമീപം
मोहब्बत,സ്നേഹം
लव,സ്നേഹം
बेबी,കുഞ്ഞേ
जानू,തേൻ
दिल,ഹൃദയം
सुन्दर,സുന്ദരം
हैप्पी,സന്തോഷം
बर्थडे,ജന്മദിനം
केक,കേക്ക്
मॉम बत्ती,അമ്മ ലൈറ്റ്
कैंडल,മെഴുകുതിരി
गाना,ഗാനം
शुभप्रभात,സുപ്രഭാതം
सुप्रभात,സുപ്രഭാതം
दिन,ദിവസം
सुबह,രാവിലെ
सूरज,സൂര്യൻ
चाय,ചായ
उठना,എഴുന്നേൽക്കുക
गुड मॉर्निंग,സുപ്രഭാതം
बेस्ट,മികച്ചത്
गुड लक,ഗുഡ് ലക്ക്
परीक्षा,പരീക്ഷ
एग्जाम,പരീക്ഷ
टेस्ट,പരിശോധന
टॉप,മുകളിൽ
इम्तेहान,പരീക്ഷ
भाई,സഹോദരൻ
बेकार,വിലകെട്ട
गलत,തെറ്റാണ്
