bobble,बकबक
sticker,स्टिकर
keyboard,किबोर्ड
testing tag,परीक्षण ट्याग
this is testing tag,यो ट्याग परीक्षण गर्दैछ
hello world,नमस्कार संसार
love,माया
pyaar,प्रेम
boyfriend,प्रेमी
happy,खुसी
relationship,सम्बन्ध
jaan,हो
jaanu,थाहा छ
janu,जनवरी
flower,फूल
wish,इच्छा
anniversary,वार्षिकोत्सव
sad,दु: खी
breakup,ब्रेकअप
fight,लडाई
crying,रो
heartbroken,मुटु
heart,मुटु
girlfriend,प्रेमिका
greeting,अभिवादन
proposal,प्रस्ताव
surprised,अचम्मित
dhoka,धोखा
park,पार्क
thinking,सोच्दै
hopeless,निराश
waiting,पर्खँदै
dil,dil
misunderstanding,गलतफहमी
question,प्रश्न
confused,अलमल
sawaal,प्रश्न
call,कल
phone,फोन
phonecall,फोन कल
angry,रिसाउनु
missed,हरायो
bird,चरा
friend,साथी
crow,काग
dost,पर्याप्त
sarcasm,व्यंग्य
cow,गाई
animal,जनावर
friends,साथीहरु
gussa,रिसाएको
work,काम
lies,झुठो
liar,झुटो
monkey,बाँदर
fun,रमाईलो
ginger,अदुवा
fruit,फल
anar,जान
dance,नृत्य
joke,ठट्टा
water,पानी
best friend,मिल्ने साथी
rain,वर्षा
barish,वर्षा
wet,भिजेको
skate board,स्केट बोर्ड
kite,चite्गा
patang,पतंग
playing,खेलिरहेको
maza,के
jump,उफ्रनु
khel,खेल
hurray,हर्रे
wow,वाह
OMG,हे भगवान्
school,स्कूल
uniform,गणवेश
bag,झोला
study,अध्ययन
student,विद्यार्थी
padhai,अध्ययन
party,भोज
beach,समुद्री तट
cool,राम्रो
swim,पौंडी
pool,पोखरी
float,फ्लोट
swimming,पौंडी खेल
ride,सवारी
race,दौड
hurry,हतार गर्नुहोस्
coming,आउँदैछ
scooter,स्कूटर
wait,पर्ख
umbrella,छाता
rainy day,वर्षाको दिन
reading,पढ्दै
books,पुस्तकहरु
book,पुस्तक
read,पढ्नु
enjoy,रमाइलो गर्नुहोस्
paper,कागज
boat,डु boat्गा
office,कार्यालय
super trump,सुपर ट्रम्प
donald trump,डोनाल्ड ट्रम्प
wig,विग
orange hair,सुन्तला कपाल
yellow hair,पहेंलो कपाल
usa,संयुक्त राज्य अमेरिका
u.s.a,संयुक्त राज्य अमेरिका
politicians,राजनीतिज्ञ
politics,राजनीति
hair styles,कपाल शैली
hair drier,कपाल ड्रायर
president,राष्ट्रपति
the states,राज्यहरु
politician,राजनीतिज्ञ
american elections,अमेरिकी चुनावहरू
elections,चुनाव
campaign,अभियान
american elections 2016,अमेरिकी चुनाव २०१ 2016
greatest,सबैभन्दा ठूलो
orange,सुन्तला
trump,ट्रम्प
US,अमेरिका
campaigns,अभियानहरू
funny,हास्यास्पद
hair,कपाल
yellow,पहेंलो
honest,इमान्दार
honesty,इमानदारीता
honest politicians,इमानदार राजनीतिज्ञ
america,अमेरिका
leader,नेता
people,मान्छे
confident,आत्मविश्वास
support,समर्थन
political party,राजनितिक पार्टि
selfie,सेल्फी
trumpfie,ट्रम्पि
picture,चित्र
photo,फोटो
camera,क्यामेरा
