bobble,bobble
sticker,اسٹیکر
keyboard,کی بورڈ
testing tag,جانچ کا ٹیگ
this is testing tag,یہ جانچنے والا ٹیگ ہے
hello world,ہیلو دنیا
love,محبت
pyaar,محبت
boyfriend,بوائے فرینڈ
happy,خوش
relationship,رشتہ
jaan,ہاں
jaanu,جانتے ہیں
janu,جنوری
flower,پھول
wish,خواہش
anniversary,سالگرہ
sad,اداس
breakup,علیحدگی
fight,لڑو
crying,رونا
heartbroken,ٹوٹا ہوا دل
heart,دل
girlfriend,گرل فرینڈ
greeting,سلام
proposal,تجویز
surprised,حیرت
dhoka,دھوکہ دہی
park,پارک
thinking,سوچنا
hopeless,ناامید
waiting,انتظار کر رہا ہے
dil,dil
misunderstanding,غلط فہمی
question,سوال
confused,الجھن میں
sawaal,سوال
call,کال کریں
phone,فون
phonecall,فون کال
angry,ناراض
missed,چھوٹ گیا
bird,پرندہ
friend,دوست
crow,کوا
dost,کافی
sarcasm,طنز
cow,گائے
animal,جانور
friends,دوست
gussa,ناراض
work,کام
lies,جھوٹ
liar,جھوٹا
monkey,بندر
fun,مزہ
ginger,ادرک
fruit,پھل
anar,جانے کے لئے
dance,رقص
joke,مذاق
water,پانی
best friend,سب سے اچھی دوست
rain,بارش
barish,بارش
wet,گیلا
skate board,سکیٹ بورڈ
kite,پتنگ
patang,پتنگ
playing,کھیلنا
maza,کیا
jump,چھلانگ لگائیں
khel,کھیل
hurray,چوٹ لگی
wow,زبردست
OMG,او میرے خدا
school,اسکول
uniform,وردی
bag,بیگ
study,مطالعہ
student,طالب علم
padhai,مطالعہ
party,پارٹی
beach,بیچ
cool,ٹھنڈا
swim,تیرنا
pool,پول
float,تیرنا
swimming,تیراکی
ride,سواری
race,دوڑ
hurry,جلدی کرو
coming,آ رہے ہیں
scooter,سکوٹر
wait,انتظار کرو
umbrella,چھتری
rainy day,بارش کا دن
reading,پڑھنا
books,کتابیں
book,کتاب
read,پڑھیں
enjoy,لطف اٹھائیں
paper,کاغذ
boat,کشتی
office,دفتر
super trump,سپر ٹرمپ
donald trump,ڈونلڈ ٹرمپ
wig,وگ
orange hair,سنتری کے بالوں
yellow hair,پیلا بال
usa,امریکا
u.s.a,امریکا
politicians,سیاستدان
politics,سیاست
hair styles,بالوں کی شیلیوں
hair drier,ہیئر ڈرائیر
president,صدر
the states,ریاستیں
politician,سیاستدان
american elections,امریکی انتخابات
elections,انتخابات
campaign,مہم
american elections 2016,امریکی انتخابات 2016
greatest,سب سے بڑا
orange,کینو
trump,ٹرمپ
US,امریکہ
campaigns,مہمات
funny,مضحکہ خیز
hair,بال
yellow,پیلا
honest,ایماندار
honesty,ایمانداری
honest politicians,ایماندار سیاستدان
america,امریکہ
leader,رہنما
people,لوگ
confident,پر اعتماد
support,کی حمایت
political party,سیاسی جماعت
selfie,سیلفی
trumpfie,ٹرمفی
picture,تصویر
photo,تصویر
