bobble,ಬಬಲ್
sticker,ಸ್ಟಿಕ್ಕರ್
keyboard,ಕೀಬೋರ್ಡ್
testing tag,ಪರೀಕ್ಷಾ ಟ್ಯಾಗ್
this is testing tag,ಇದು ಪರೀಕ್ಷಾ ಟ್ಯಾಗ್ ಆಗಿದೆ
hello world,ಹಲೋ ವರ್ಲ್ಡ್
love,ಪ್ರೀತಿ
pyaar,ಪ್ರೀತಿ
boyfriend,ಗೆಳೆಯ
happy,ಸಂತೋಷ
relationship,ಸಂಬಂಧ
jaan,ಹೌದು
jaanu,ತಿಳಿಯಿರಿ
janu,ಜನ.
flower,ಹೂವು
wish,ಹಾರೈಕೆ
anniversary,ವಾರ್ಷಿಕೋತ್ಸವ
sad,ದುಃಖ
breakup,ಬಿರುಕು
fight,ಹೋರಾಟ
crying,ಅಳುವುದು
heartbroken,ಎದೆಗುಂದಿದ
heart,ಹೃದಯ
girlfriend,ಗೆಳತಿ
greeting,ಶುಭಾಶಯ
proposal,ಪ್ರಸ್ತಾಪ
surprised,ಆಶ್ಚರ್ಯ
dhoka,ಮೋಸಗಾರ
park,ಉದ್ಯಾನ
thinking,ಆಲೋಚನೆ
hopeless,ಹತಾಶ
waiting,ಕಾಯುತ್ತಿದೆ
dil,ಡಿಲ್
misunderstanding,ತಪ್ಪು ತಿಳುವಳಿಕೆ
question,ಪ್ರಶ್ನೆ
confused,ಗೊಂದಲ
sawaal,ಪ್ರಶ್ನೆ
call,ಕರೆ ಮಾಡಿ
phone,ದೂರವಾಣಿ
phonecall,ದೂರವಾಣಿ ಕರೆ
angry,ಕೋಪಗೊಂಡ
missed,ತಪ್ಪಿಸಿಕೊಂಡ
bird,ಹಕ್ಕಿ
friend,ಸ್ನೇಹಿತ
crow,ಕಾಗೆ
dost,ಸಾಕಷ್ಟು
sarcasm,ಚುಚ್ಚುಮಾತು
cow,ಹಸು
animal,ಪ್ರಾಣಿ
friends,ಸ್ನೇಹಿತರು
gussa,ಕೋಪ
work,ಕೆಲಸ
lies,ಸುಳ್ಳು
liar,ಸುಳ್ಳುಗಾರ
monkey,ಕೋತಿ
fun,ಮೋಜಿನ
ginger,ಶುಂಠಿ
fruit,ಹಣ್ಣು
anar,ಹೋಗಲು
dance,ನೃತ್ಯ
joke,ಜೋಕ್
water,ನೀರು
best friend,ಉತ್ತಮ ಸ್ನೇಹಿತ
rain,ಮಳೆ
barish,ಮಳೆ
wet,ಒದ್ದೆ
skate board,ಸ್ಕೇಟ್ ಬೋರ್ಡ್
kite,ಗಾಳಿಪಟ
patang,ಗಾಳಿಪಟ
playing,ಆಡುತ್ತಿದ್ದಾರೆ
maza,ಏನು
jump,ನೆಗೆಯುವುದನ್ನು
khel,ಆಟ
hurray,ಹರ್ರೆ
wow,ಅದ್ಭುತ
OMG,ಒಎಂಜಿ
school,ಶಾಲೆ
uniform,ಏಕರೂಪ
bag,ಚೀಲ
study,ಅಧ್ಯಯನ
student,ವಿದ್ಯಾರ್ಥಿ
padhai,ಅಧ್ಯಯನಗಳು
party,ಪಕ್ಷ
beach,ಬೀಚ್
cool,ತಂಪಾದ
swim,ಈಜು
pool,ಪೂಲ್
float,ಫ್ಲೋಟ್
swimming,ಈಜು
ride,ಸವಾರಿ
race,ರೇಸ್
hurry,ಯದ್ವಾತದ್ವಾ
coming,ಬರುತ್ತಿದೆ
scooter,ಸ್ಕೂಟರ್
wait,ನಿರೀಕ್ಷಿಸಿ
umbrella,.ತ್ರಿ
rainy day,ಮಳೆಗಾಲದ ದಿನ
reading,ಓದುವಿಕೆ
books,ಪುಸ್ತಕಗಳು
book,ಪುಸ್ತಕ
read,ಓದಿ
enjoy,ಆನಂದಿಸಿ
paper,ಕಾಗದ
boat,ದೋಣಿ
office,ಕಚೇರಿ
super trump,ಸೂಪರ್ ಟ್ರಂಪ್
donald trump,ಡೊನಾಲ್ಡ್ ಟ್ರಂಪ್
wig,ವಿಗ್
orange hair,ಕಿತ್ತಳೆ ಕೂದಲು
yellow hair,ಹಳದಿ ಕೂದಲು
usa,ಯುಎಸ್ಎ
u.s.a,ಯುಎಸ್ಎ
politicians,ರಾಜಕಾರಣಿಗಳು
politics,ರಾಜಕೀಯ
hair styles,ಕೂದಲು ಶೈಲಿಗಳು
hair drier,ಕೂದಲು ಒಣಗಿಸುವ ಯಂತ್ರ
president,ಅಧ್ಯಕ್ಷ
the states,ರಾಜ್ಯಗಳು
politician,ರಾಜಕಾರಣಿ
american elections,ಅಮೇರಿಕನ್ ಚುನಾವಣೆಗಳು
elections,ಚುನಾವಣೆಗಳು
campaign,ಪ್ರಚಾರ
american elections 2016,ಅಮೇರಿಕನ್ ಚುನಾವಣೆಗಳು 2016
greatest,ಶ್ರೇಷ್ಠ
orange,ಕಿತ್ತಳೆ
trump,ಟ್ರಂಪ್
US,ಯುಎಸ್
campaigns,ಪ್ರಚಾರಗಳು
funny,ತಮಾಷೆ
hair,ಕೂದಲು
yellow,ಹಳದಿ
honest,ಪ್ರಾಮಾಣಿಕ
honesty,ಪ್ರಾಮಾಣಿಕತೆ
honest politicians,ಪ್ರಾಮಾಣಿಕ ರಾಜಕಾರಣಿಗಳು
america,ಅಮೆರಿಕ
leader,ನಾಯಕ
people,ಜನರು
confident,ಆತ್ಮವಿಶ್ವಾಸ
support,ಬೆಂಬಲ
political party,ರಾಜಕೀಯ ಪಕ್ಷ
selfie,ಸೆಲ್ಫಿ
trumpfie,ಟ್ರಂಪ್
picture,ಚಿತ್ರ
photo,ಫೋಟೋ
camera,ಕ್ಯಾಮೆರಾ
donald trump hair,ಡೊನಾಲ್ಡ್ ಟ್ರಂಪ್ ಕೂದಲು
trump hair,ಟ್ರಂಪ್ ಕೂದಲು
silk,ರೇಷ್ಮೆ
silky,ರೇಷ್ಮೆ
silky hair,ರೇಷ್ಮೆಯಂತಹ ಕೂದಲು
dresser,ವಿನ್ಯಾಸಕಿ
hair style,ಕೂದಲು ಶೈಲಿ
hair dresser,ಹೇರ್ ಡ್ರೆಸ್ಸರ್
super hero trump,ಸೂಪರ್ ಹೀರೋ ಟ್ರಂಪ್
i am trump,ನಾನು ಟ್ರಂಪ್
i,ನಾನು
am,ನಾನು
american politics,ಅಮೇರಿಕನ್ ರಾಜಕೀಯ
american election 2016,ಅಮೇರಿಕನ್ ಚುನಾವಣೆ 2016
rockstar,ರಾಕ್ ಸ್ಟಾರ್
americans,ಅಮೆರಿಕನ್ನರು
america elections 2016,ಅಮೆರಿಕಾ ಚುನಾವಣೆಗಳು 2016
tomorrow,ನಾಳೆ
lazy,ಸೋಮಾರಿಯಾದ
tired,ದಣಿದ
laidback,ಹಿನ್ನಡೆ
laze,ಲೇಜ್
procrastination,ವಿಳಂಬ ಪ್ರವೃತ್ತಿ
procrastinate,ಮುಂದೂಡಿ
delay,ವಿಳಂಬ
morning,ಬೆಳಗ್ಗೆ
work day,ಕೆಲಸದ ದಿನ
weekend,ವಾರಾಂತ್ಯ
off,ಆರಿಸಿ
weekends,ವಾರಾಂತ್ಯಗಳು
holidays,ರಜಾದಿನಗಳು
no,ಇಲ್ಲ
bath,ಸ್ನಾನ
sunday,ಭಾನುವಾರ
weekend holiday,ವಾರಾಂತ್ಯದ ರಜೆ
weekend off,ವಾರಾಂತ್ಯದ ರಜೆ
weekend trip,ವಾರಾಂತ್ಯದ ಪ್ರವಾಸ
wash,ತೊಳೆಯಿರಿ
home,ಮನೆ
clothes,ಬಟ್ಟೆ
pyjamas,ಪೈಜಾಮಾ
lazy sunday,ಸೋಮಾರಿ ಭಾನುವಾರ
best,ಅತ್ಯುತ್ತಮ
offs,ಆಫ್ಸ್
pyjama party,ಪೈಜಾಮ ಪಾರ್ಟಿ
unwind,ಬಿಚ್ಚುವ
relaxing,ವಿಶ್ರಾಂತಿ
busy,ನಿರತ
hibernation,ಶಿಶಿರಸುಪ್ತಿ
sofa,ಸೋಫಾ
couch,ಮಂಚದ
couch potato,ಮಂಚದ ಆಲೂಗಡ್ಡೆ
silence,ಮೌನ
sleeping,ಮಲಗುವುದು
lazing,ಲೇಜಿಂಗ್
unwinding,ಬಿಚ್ಚುವುದು
today,ಇಂದು
nothing,ಏನೂ ಇಲ್ಲ
doing,ಮಾಡುತ್ತಿರುವುದು
relax,ವಿಶ್ರಾಂತಿ
chilling,ಚಿಲ್ಲಿಂಗ್
lazy ass,ಸೋಮಾರಿಯಾದ ಕತ್ತೆ
chill,ಚಿಲ್
no work,ಕೆಲಸವಿಲ್ಲ
holiday,ರಜೆ
sundays,ಭಾನುವಾರಗಳು
vacation,ರಜೆ
lazy bum,ಸೋಮಾರಿಯಾದ ತಿಕ
eat,ತಿನ್ನಿರಿ
sleep,ನಿದ್ರೆ
repeat,ಪುನರಾವರ್ತಿಸಿ
resting,ವಿಶ್ರಾಂತಿ
glutton,ಹೊಟ್ಟೆಬಾಕ
eating,ತಿನ್ನುವುದು
hungry,ಹಸಿದ
foodie,ತಿನ್ನುವವನು
good morning,ಶುಭೋದಯ
sunrise,ಸೂರ್ಯೋದಯ
woke,ಎಚ್ಚರವಾಯಿತು
awake,ಎಚ್ಚರ
up,ಅಪ್
rise up,ಮೇಲೇಳು
day,ದಿನ
in bed,ಹಾಸಿಗೆಯಲ್ಲಿ
bed,ಹಾಸಿಗೆ
sleepy,ನಿದ್ರೆ
woke up,ಎಚ್ಚರವಾಯಿತು
useless,ಅನುಪಯುಕ್ತ
vacations,ರಜಾದಿನಗಳು
saturday,ಶನಿವಾರ
week off,ವಾರ ರಜೆ
idle,ಜಡ
pizza,ಪಿಜ್ಜಾ
pancakes,ಪ್ಯಾನ್ಕೇಕ್ಗಳು
food,ಆಹಾರ
food items,ಆಹಾರ ವಸ್ತುಗಳು
indulgence,ಭೋಗ
weekend indulgence,ವಾರಾಂತ್ಯದ ಭೋಗ
rajnikanth,ರಜನಿಕಾಂತ್
rajnikant,ರಜನಿಕಾಂತ್
thalaiva,ಮುಖಮಂಟಪದ
south indian cinema,ದಕ್ಷಿಣ ಭಾರತೀಯ ಸಿನೆಮಾ
tamil actor,ತಮಿಳು ನಟ
tamil movies,ತಮಿಳು ಚಲನಚಿತ್ರಗಳು
movies,ಚಲನಚಿತ್ರಗಳು
south indian,ದಕ್ಷಿಣ ಭಾರತೀಯ
south indian actor,ದಕ್ಷಿಣ ಭಾರತದ ನಟ
movie dialogues,ಚಲನಚಿತ್ರ ಸಂವಾದಗಳು
understand,ಅರ್ಥಮಾಡಿಕೊಳ್ಳಿ
better,ಉತ್ತಮ
style,ಶೈಲಿ
cant,ಸಾಧ್ಯವಿಲ್ಲ
stop,ನಿಲ್ಲಿಸಿ
stop me,ನನ್ನನ್ನು ನಿಲ್ಲಿಸಿ
south indian movies,ದಕ್ಷಿಣ ಭಾರತೀಯ ಚಲನಚಿತ್ರಗಳು
play,ಆಟವಾಡಿ
ball,ಚೆಂಡು
action,ಕ್ರಿಯೆ
drama,ನಾಟಕ
