bobble,berbandul
sticker,stiker
keyboard,papan ketik
testing tag,tag pengujian
this is testing tag,ini adalah tag pengujian
hello world,Halo Dunia
love,cinta
pyaar,Cinta itu
boyfriend,pacar
happy,senang
relationship,hubungan
jaan,iya
jaanu,Tahu
janu,Januari
flower,bunga
wish,ingin
anniversary,ulang tahun
sad,sedih
breakup,putus
fight,pertarungan
crying,menangis
heartbroken,patah hati
heart,jantung
girlfriend,pacar perempuan
greeting,salam
proposal,usul
surprised,terkejut
dhoka,Cheat itu
park,taman
thinking,berpikir
hopeless,putus asa
waiting,menunggu
dil,dil
misunderstanding,salah paham
question,pertanyaan
confused,bingung
sawaal,Pertanyaannya
call,panggilan
phone,telepon
phonecall,panggilan telepon
angry,marah
missed,terjawab
bird,burung
friend,teman
crow,gagak
dost,cukup
sarcasm,sarkasme
cow,lembu
animal,satwa
friends,teman
gussa,Marah
work,kerja
lies,kebohongan
liar,pembohong
monkey,monyet
fun,menyenangkan
ginger,Jahe
fruit,buah
anar,untuk pergi
dance,menari
joke,lelucon
water,air
best friend,sahabat
rain,hujan
barish,Hujan
wet,basah
skate board,papan skate
kite,layang-layang
patang,Layang-layang
playing,bermain
maza,Apa?
jump,melompat
khel,Permainan
hurray,Hore
wow,Wow
OMG,ya Tuhan
school,sekolah
uniform,seragam
bag,tas
study,belajar
student,siswa
padhai,Studi
party,pesta
beach,pantai
cool,keren
swim,berenang
pool,kolam
float,mengapung
swimming,renang
ride,mengendarai
race,ras
hurry,cepat
coming,kedatangan
scooter,skuter
wait,Tunggu
umbrella,payung
rainy day,hari hujan
reading,bacaan
books,buku
book,Book
read,Baca
enjoy,Nikmati
paper,kertas
boat,perahu
office,kantor
super trump,super truf
donald trump,donald truf
wig,teguran
orange hair,rambut oranye
yellow hair,rambut kuning
usa,Amerika Serikat
u.s.a,Amerika Serikat
politicians,politisi
politics,politik
hair styles,gaya rambut
hair drier,pengering rambut
president,Presiden
the states,Negara
politician,politikus
american elections,pemilihan Amerika
elections,pemilihan umum
campaign,kampanye
american elections 2016,Pemilu Amerika 2016
greatest,terhebat
orange,jeruk
trump,truf
US,KAMI
campaigns,kampanye
funny,lucu
hair,rambut
yellow,kuning
honest,jujur
honesty,kejujuran
honest politicians,politisi jujur
america,Amerika
leader,pemimpin
people,orang-orang
confident,percaya diri
support,dukung
political party,Partai Politik
selfie,selfie
trumpfie,trumpfie
picture,gambar
photo,foto
camera,kamera
