bobble,bobble
sticker,স্টিকার
keyboard,কীবোর্ড
testing tag,পরীক্ষার ট্যাগ
this is testing tag,এই টেস্টিং ট্যাগ
hello world,ওহে বিশ্ব
love,ভালবাসা
pyaar,ভালবাসা
boyfriend,প্রেমিক
happy,খুশি
relationship,সম্পর্ক
jaan,জানুয়ারী
jaanu,জানা
janu,Janu
flower,ফুল
wish,ইচ্ছা
anniversary,বার্ষিকী
sad,দু: খিত
breakup,বিচ্ছিন্ন
fight,যুদ্ধ
crying,ক্রন্দিত
heartbroken,ভগ্নহৃদয়
heart,হৃদয়
girlfriend,বান্ধবী
greeting,অভিবাদন
proposal,প্রস্তাব
surprised,বিস্মিত
dhoka,প্রতারণা
park,পার্ক
thinking,চিন্তা
hopeless,আশাহীন
waiting,ওয়েটিং
dil,হৃদয়
misunderstanding,ভুল বুঝা
question,প্রশ্ন
confused,বিভ্রান্ত
sawaal,প্রশ্ন
call,কল
phone,ফোন
phonecall,ফোন কল
angry,ক্রুদ্ধ
missed,মিস
bird,পাখি
friend,বন্ধু
crow,কাক
dost,যথেষ্ট
sarcasm,বিদ্রূপ
cow,গাভী
animal,পশু
friends,বন্ধুদের
gussa,ক্রুদ্ধ
work,কাজ
lies,মিথ্যা
liar,মিথ্যাবাদী
monkey,বানর
fun,মজা
ginger,আদা
fruit,ফল
anar,যেতে
dance,নাচতে
joke,রসিকতা
water,পানি
best friend,ভাল বন্ধু
rain,বৃষ্টি
barish,বৃষ্টি
wet,ভিজা
skate board,স্কেট বোর্ড
kite,ঘুড়ি
patang,ঘুড়ি
playing,খেলি
maza,কি
jump,লাফ
khel,খেলা
hurray,হুরেই
wow,কি দারুন
OMG,ঈশ্বর
school,বিদ্যালয়
uniform,অভিন্ন
bag,থলে
study,অধ্যয়ন
student,ছাত্র
padhai,অধ্যয়ন
party,পার্টি
beach,সৈকত
cool,শীতল
swim,সন্তরণ
pool,পুকুর
float,ভাসা
swimming,সাঁতার
ride,অশ্বারোহণ
race,জাতি
hurry,ত্বরা
coming,আসছে
scooter,স্কুটার
wait,অপেক্ষার
umbrella,ছাতা
rainy day,বৃষ্টির দিন
reading,পড়া
books,বই
book,বই
read,পড়া
enjoy,উপভোগ
paper,কাগজ
boat,নৌকা
office,দপ্তর
super trump,সুপার ট্রাম্প
donald trump,ডোনাল্ড ট্রাম্প
wig,পরচুলা
orange hair,কমলা চুল
yellow hair,হলুদ চুল
usa,আমেরিকা
u.s.a,আমেরিকা
politicians,রাজনীতিবিদদের
politics,রাজনীতি
hair styles,চুলের শৈলী
hair drier,চুল শুকানোর যন্ত্র
president,সভাপতি
the states,রাজ্যের
politician,রাজনীতিজ্ঞ
american elections,আমেরিকান নির্বাচন
elections,নির্বাচনে
campaign,প্রচারণা
american elections 2016,আমেরিকান নির্বাচন 2016
greatest,সর্বাধিক
orange,কমলা
trump,ভেরী
US,আমাদের
campaigns,প্রচারণা
funny,হাস্যকর
hair,চুল
yellow,হলুদ
honest,সত্
honesty,সততা
honest politicians,সৎ রাজনীতিবিদ
america,আমেরিকা
leader,নেতা
people,সম্প্রদায়
confident,আত্মবিশ্বাসী
support,সমর্থন
political party,রাজনৈতিক দল
selfie,শেলফি
trumpfie,trumpfie
picture,ছবি
photo,ছবি
camera,ক্যামেরা
donald trump hair,ডোনাল্ড ট্রাম্প চুল
trump hair,ট্রাম্প চুল
silk,সিল্ক
silky,রেশমী
silky hair,রেশমী চুল
dresser,রুপকার
hair style,চুলের স্টাইল
hair dresser,চুল ড্রেসার
super hero trump,সুপার হিরো ট্রাম্প
i am trump,আমি ট্রাম্প
i,আমি
am,টা
