bobble,مزركشة
sticker,ملصق
keyboard,لوحة المفاتيح
testing tag,علامة اختبار
this is testing tag,هذا هو اختبار العلامة
hello world,مرحبا بالعالم
love,حب
pyaar,الحب
boyfriend,حبيب
happy,سعيدة
relationship,صلة
jaan,نعم
jaanu,اعرف
janu,يناير
flower,زهرة
wish,رغبة
anniversary,ذكرى سنوية
sad,حزين
breakup,انفصل
fight,يقاتل
crying,بكاء
heartbroken,مكسور القلب
heart,قلب
girlfriend,صديقة
greeting,تحية
proposal,اقتراح
surprised,فوجئت
dhoka,الغش
park,منتزه
thinking,تفكير
hopeless,ميئوس منه
waiting,انتظار
dil,مخفف
misunderstanding,سوء فهم
question,سؤال
confused,مشوش
sawaal,السؤال
call,مكالمة
phone,هاتف
phonecall,مكالمة صوتية
angry,غاضب
missed,افتقد
bird,طائر
friend,صديق
crow,الغراب
dost,يكفي
sarcasm,سخرية
cow,بقرة
animal,حيوان
friends,اصحاب
gussa,غاضب
work,عمل
lies,الأكاذيب
liar,كذاب
monkey,قرد
fun,مرح
ginger,زنجبيل
fruit,فاكهة
anar,للذهاب
dance,ارقص
joke,نكتة
water,ماء
best friend,افضل صديق
rain,تمطر
barish,المطر
wet,مبلل
skate board,لوح تزلج
kite,طائرة ورقية
patang,طائرة ورقية
playing,تلعب
maza,ماذا
jump,اقفز
khel,اللعبة
hurray,مرحى
wow,رائع
OMG,يا الهي
school,مدرسة
uniform,زى موحد
bag,كيس
study,دراسة
student,طالب علم
padhai,دراسات
party,حفل
beach,شاطئ بحر
cool,بارد
swim,اسبح
pool,حوض السباحة
float,تطفو
swimming,سباحة
ride,اركب
race,سباق
hurry,عجل
coming,آت
scooter,سكوتر
wait,انتظر
umbrella,مظلة
rainy day,يوم ممطر
reading,قراءة
books,كتب
book,كتاب
read,اقرأ
enjoy,استمتع
paper,ورقة
boat,قارب
office,مكتب. مقر. مركز
super trump,رابحة عظمى
donald trump,دونالد ترمب
wig,شعر مستعار
orange hair,شعر برتقالي
yellow hair,شعر أصفر
usa,الولايات المتحدة الأمريكية
u.s.a,الولايات المتحدة الأمريكية
politicians,سياسة
politics,سياسة
hair styles,تسريحات للشعر
hair drier,مجفف شعر
president,رئيس
the states,الولايات
politician,سياسي
american elections,الانتخابات الأمريكية
elections,انتخابات
campaign,حملة
american elections 2016,الانتخابات الأمريكية 2016
greatest,أعظم
orange,البرتقالي
trump,ورقة رابحة
US,نحن
campaigns,حملات
funny,مضحك
