bobble,ਬੌਬਲ
sticker,ਸਟਿੱਕਰ
keyboard,ਕੀਬੋਰਡ
testing tag,ਟੈਸਟਿੰਗ ਟੈਗ
this is testing tag,ਇਹ ਟੈਗ ਟੈਸਟ ਕਰ ਰਿਹਾ ਹੈ
hello world,ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ ਦੁਨਿਆ
love,ਪਿਆਰ
pyaar,ਪਿਆਰ
boyfriend,ਬੁਆਏਫ੍ਰੈਂਡ
happy,ਖੁਸ਼
relationship,ਰਿਸ਼ਤੇ
jaan,ਹਾਂ
jaanu,ਜਾਣੋ
janu,ਜਨ.
flower,ਫੁੱਲ
wish,ਇੱਛਾ
anniversary,ਬਰਸੀ
sad,ਉਦਾਸ
breakup,ਰਿਸ਼ਤਾ ਤੋੜਨਾ
fight,ਲੜੋ
crying,ਰੋਣਾ
heartbroken,ਦੁਖੀ
heart,ਦਿਲ
girlfriend,ਸਹੇਲੀ
greeting,ਨਮਸਕਾਰ
proposal,ਪ੍ਰਸਤਾਵ
surprised,ਹੈਰਾਨ
dhoka,ਠੱਗ
park,ਪਾਰਕ
thinking,ਸੋਚ
hopeless,ਨਿਰਾਸ਼
waiting,ਉਡੀਕ
dil,dil
misunderstanding,ਗਲਤਫਹਿਮੀ
question,ਪ੍ਰਸ਼ਨ
confused,ਉਲਝਣ ਵਿੱਚ
sawaal,ਸਵਾਲ
call,ਕਾਲ ਕਰੋ
phone,ਫੋਨ
phonecall,ਫੋਨ ਕਾਲ
angry,ਗੁੱਸਾ
missed,ਖੁੰਝ ਗਿਆ
bird,ਪੰਛੀ
friend,ਦੋਸਤ
crow,ਕਾਂ
dost,ਕਾਫ਼ੀ
sarcasm,ਵਿਅੰਗ
cow,ਗਾਂ
animal,ਜਾਨਵਰ
friends,ਦੋਸਤ
gussa,ਗੁੱਸੇ
work,ਕੰਮ
lies,ਝੂਠ
liar,ਝੂਠਾ
monkey,ਬਾਂਦਰ
fun,ਮਜ਼ੇਦਾਰ
ginger,ਅਦਰਕ
fruit,ਫਲ
anar,ਜਾਣ ਲਈ
dance,ਨਾਚ
joke,ਮਜ਼ਾਕ
water,ਪਾਣੀ
best friend,ਪੱਕੇ ਮਿੱਤਰ
rain,ਮੀਂਹ
barish,ਮੀਂਹ
wet,ਗਿੱਲਾ
skate board,ਸਕੇਟ ਬੋਰਡ
kite,ਪਤੰਗ
patang,ਪਤੰਗ
playing,ਖੇਡਣਾ
maza,ਕੀ
jump,ਛਾਲ ਮਾਰੋ
khel,ਖੇਡ
hurray,ਦੁਖਦਾਈ
wow,ਵਾਹ
OMG,ਓ ਐਮ ਜੀ
