ribbions,റാബിയോൺസ്
neckalce,കണ്ഠാഭരണം
taj mahal,താജ്മഹൽ
tickets,ടിക്കറ്റ്
chooriyaan,വളകൾ
leather jacket,ലെതർ ജാക്കറ്റ്
hathiyaar,ആയുധം
thsirt,ടി ഷർട്ട്
elephanr,ആന
galeecha,റഗ്
kurtha,കുർത്ത
windows,വിൻഡോകൾ
churiya,ചുരിയ
chipkali,പല്ലി
salwar kurta,സൽവാർ കുർത്ത
mezz,ഉപകരണം
angoor,മുന്തിരി
delhi dare devils uniform,ഡെൽഹി ധൈര്യമുള്ള പിശാചുക്കൾ യൂണിഫോം
leg guard,ലെഗ് ഗാർഡ്
turban,തലപ്പാവ്
gurudwara,ഗുരുദ്വാര
kurta jacket,കുർത്ത ജാക്കറ്റ്
sabziyan,പച്ചക്കറികൾ
bavarchi,കുക്ക്
rasoi,ശവെര്സ്
samaan,ഒരേ സമയത്ത്
cosmopolitan,കോസ്മോപൊളിറ്റൻ
emojis,ഇമോജികൾ
kolkatta night riders,കൊൽക്കത്ത നൈറ്റ് റൈഡറുകൾ
cricket t shirt,ക്രിക്കറ്റ് ടി ഷർട്ട്
aatamviswas,aatamviswas
daravana,ഭയപ്പെടുത്തുന്നു
indian cricket team jersey,ഇന്ത്യൻ ക്രിക്കറ്റ് ടീം ജേഴ്സി
pussy cat,പുസി പൂച്ച
billa,ബിൽ
degree,ഡിഗ്രി
cricket pitch,ക്രിക്കറ്റ് പിച്ച്
cricket team uniform,ക്രിക്കറ്റ് ടീം യൂണിഫോം
Rising Pune Supergiants,റൈസിംഗ് പൂനെ സൂപ്പർജയന്റുകൾ
parr,parr
clutch bag,ക്ലച്ച് ബാഗ്
khatiya,കട്ടിലിൽ
saabo,പുതിയത്
jenas,ജെനാസ്
indian salwar suit,ഇന്ത്യൻ സൽവാർ സ്യൂട്ട്
indian salwar suit, pichkari,ഇന്ത്യൻ സൽവാർ സ്യൂട്ട്, പിച്ച്കാരി
giraff,ജിറാഫ്
apples,ആപ്പിൾ
capris,കാപ്രിസ്
wine bottle,വീഞ്ഞു കുപ്പി
whickey,വിസ്കി
snakcs,ലഘുഭക്ഷണങ്ങൾ
mattress,കട്ടിൽ
gadda,ഗദ്ദ
road sign,റോഡ് ചിഹ്നം
pokemonl digimon,പോക്ക്മാൻ ഡിജിമോൻ
hilary,ഹിലാരി
bhala,പോലെ
mens ethnic clothes,പുരുഷ വംശീയ വസ്ത്രങ്ങൾ
arsenal jersey,ആയുധപ്പുര ജേഴ്സി
soccer,സോക്കർ
futball,ഫുട്ബോൾ
cricket shirt,ക്രിക്കറ്റ് ഷർട്ട്
utensils,പാത്രങ്ങൾ
chef's suit,ഷെഫിന്റെ സ്യൂട്ട്
school building,സ്കൂൾ കെട്ടിടം
shaolin warrior,ഷാവോളിൻ യോദ്ധാവ്
diet chart,ഡയറ്റ് ചാർട്ട്
ethnic suit,വംശീയ സ്യൂട്ട്
bharat naksha,ഇന്ത്യ മാപ്പ്
cactus,കള്ളിച്ചെടി
knicker,നിക്കർ
cocktails,കോക്ടെയിലുകൾ
heera,വജ്രങ്ങൾ
cheerleader dress,ചിയർ ലീഡർ വസ്ത്രധാരണം
indradhanush,മഴവില്ല്
chudiya,പെൺകുട്ടി
sun sign,സൂര്യ രാശി
horoscope,ജാതകം
bakra,ചെമ്പ്
bakri,ബക്രി
spaghetti,സ്പാഗെട്ടി
graveyard,ശ്മശാനഭൂമി
kabristaan,സെമിത്തേരി
tigress,കടുവ
Kings XI Punjab,കിംഗ്സ് ഇലവൻ പഞ്ചാബ്
cricket tshirt,ക്രിക്കറ്റ് ഷർട്ട്
gujarat lions,ഗുജറാത്ത് സിംഹങ്ങൾ
marijuana,മരിജുവാന
weed,കള
hash,ഹാഷ്
ganja,ഗഞ്ച
high neck trousers,ഉയർന്ന കഴുത്ത് ട്ര ous സറുകൾ
neck,കഴുത്ത്
insects,പ്രാണികൾ
cheenti,ചെയിൻ
tortoise,ആമ
kachua,ആമ
basket ball,ബാസ്കറ്റ്ബോൾ
jooyte,ജൊഒയ്തെ
mor,മോർ
mor pankh,മയിൽ തൂവലുകൾ
non vegetarian,നോൺ വെജിറ്റേറിയൻ
phal,ഫലം
kamiez,ട്രക്കുകൾ
barsaat,മഴ
rain drops,മഴത്തുള്ളികൾ
pistols,പിസ്റ്റളുകൾ
rifles,റൈഫിളുകൾ
ak24,റീസൈക്കിൾ 4
bombs,ബോംബുകൾ
shaktishaali,ശക്തൻ
Vrishick,വൃഷിക്
quentioning,ചോദ്യം ചെയ്യൽ
machchar,മച്ചാർ
menduk,ചുമ
dawawana,ദവവന
kites,കൈറ്റ്സ്
thread roll,ത്രെഡ് റോൾ
patang ka manja,നാല് മുതൽ അഞ്ച് വരെ
dips,മുക്കി
salwaar suit,സൽവാർ സ്യൂട്ട്
drum roll,ഡ്രം റോൾ
polo,പോളോ
aatamvishwasi,ആത്മവിശ്വാസം
poochtach,അന്വേഷണം
mojee,മോജി
lake,തടാകം
kasti,ബോക്സ്
sagar,സാഗർ
nadi,ക്ലബ്
tux,tux
piano man,പിയാനോ മാൻ
pianist,പിയാനിസ്റ്റ്
stearing wheel,സ്റ്റിയറിംഗ് വീൽ
road signs,റോഡ് അടയാളങ്ങൾ
pahiya,പഹ്യ
danger sign,അപകട അടയാളം
khoka,കുഞ്ഞേ
vine,മുന്തിരിവള്ളി
raindrops,മഴത്തുള്ളികൾ
football ground,ഫുട്ബോൾ മൈതാനം
footbal shoes,ഫുട്ബോൾ ഷൂസ്
real madrid jersey,യഥാർത്ഥ മാഡ്രിഡ് ജേഴ്സി
three wheeler,ത്രീ വീലർ
duaptta,ദുഅപ്ത് ൽ
capsule,ഗുളിക
bimar,രോഗികൾ
jutry,ജുത്ര്യ്
thakka hua,തുപ്പുക
Cucumber,വെള്ളരിക്ക
kheera,കുക്കുമ്പർ
giftsl,സമ്മാനങ്ങൾ
uphar,സമ്മാനം
mataka,മാറ്റക
gilaas,ഗ്ലാസ്
boxing bag,ബോക്സിംഗ് ബാഗ്
foam,നുര
jhaag,നുര
red panty,ചുവന്ന പാന്റി
thread,ത്രെഡ്
duppatta,സ്കാർഫ്
atam vishwas,ആത്മവിശ്വാസം
spiral,സർപ്പിള
injured,പരിക്കേറ്റു
chinh,പ്രധാനം
chot,ഒരു പരിക്ക്
cheer leaders,ചിയർ ലീഡർമാർ
pom poms,പോം പോംസ്
jaykaar,ആഹ്ലാദിക്കുക
jhalar,സോൾഡർ
big ben,ബിഗ് ബെൻ
great bell,വലിയ മണി
jotey,സഖ്യത്തിൽ
mashal,Mashal
mshal,ടോർച്ച്
swapi,സ്വയം
taekondo,taekondo
uwagi,അഭിപ്രായങ്ങൾ
shitabaki,അടിവസ്ത്രം
ogi,ogi
spikes,സ്പൈക്കുകൾ
nokila,മിക്കില
makan,കഴിക്കാൻ
bhumi,ദേശം
chudhi,വള
crop,വിള
neela balla,നീല അറിയാം
khulna,ഖുൽന
shidha,shidha
buggy,ബഗ്ഗി
ornaments,ആഭരണങ്ങൾ
formal,formal പചാരികം
repeated,ആവർത്തിച്ചു
justin,ജസ്റ്റിൻ
jhony,ജോണി
takad,തകാദ്
bandles,ബാൻഡിലുകൾ
chapal,കളിയായ
kaleen,തെരുവുകൾ
muthi,മുഷ്ടി
bachi,ഇടത്
rangeela,നിറമുള്ളത്
threads,ത്രെഡുകൾ
kaath ka tukda,കാത്ത് കാ തുക്ദ
dhage,ത്രെഡ്
atma,ത്രോവിംഗ്
lappy,ലപ്പി
syahi,മഷി
container,കണ്ടെയ്നർ
forks,ഫോർക്കുകൾ
chamach,സ്പൂൺ
defence,പ്രതിരോധം
fauz,മിലിട്ടറി
kitabien,രണ്ട് പുസ്തകങ്ങൾ
sant,വിശുദ്ധം
plus,ഒപ്പം
adbhut aurat,അതിശയകരമായ സ്ത്രീ
padhaku,പദകു
colf,ഗാർഹിക തൊഴിലാളികൾ
buri atma,ദുരാത്മാവ്
table cloth,മേശ വിരി
nashpati,പിയർ
babbukosha,ശിക്ഷാ വകുപ്പ്
ruler,ഭരണാധികാരി
rashtra pati,ദേശീയ ഭർത്താവ്
choti,ചെറിയ
jewer,ആഭരണം
jhallar,ജലാർ
sign,അടയാളം
KKR,റൈഡേഴ്സ്
swafi,സ്വാഫി
news paper,ന്യൂസ് പേപ്പർ
akhbar,പത്രം
mooch,മൂച്ച്
suit, salwar, chudiya,സ്യൂട്ടുകൾ, സൽവാർ, ചുഡിയ
kanga,കങ്ക
viel,ഒരുപാട്
burkha,ബുർഖ
hijaab,ഹിജാബ്
kurta paijama,കുർത്ത പൈജാമ
mobilephone,മൊബൈൽ ഫോൺ
darpan,കണ്ണാടി
shtirt,അടിപൊളി
meat,മാംസം
gosht,gosht
poshaaq,വസ്ത്രധാരണം
lehanga,സൂര്യൻ
tash,ഇപ്പോള്
bath tub,ബാത്ത് ടബ്
boy school dress,ബോയ് സ്കൂൾ വസ്ത്രധാരണം
tags,ടാഗുകൾ
docter dress,ഡോക്ടർ വസ്ത്രധാരണം
chef dress,ഷെഫ് വസ്ത്രധാരണം
kurtaa paizama,കുർത്ത പൈസിൽ
voilin,വയലിൻ
apnt,യാന്ത്രികമായി
seat belt,സീറ്റ് ബെൽറ്റ്
pargrahi,പര്ഗ്രഹി
rausani,പ്രകാശം
churri,ചുരി
drapery,ഡ്രാപ്പറി
kan ki bali,ഞാൻ തിരിച്ചെത്തി
dhool,കഴുകി കളഞ്ഞു
frcok,ഫ്ര്ചൊക്
armer,ആയുധങ്ങൾ
tir,ഷോട്ട്
prayer mat,പ്രാർത്ഥന പായ
