bobble,ବବଲ୍ |
sticker,ଷ୍ଟିକର |
keyboard,କୀବୋର୍ଡ୍
testing tag,ପରୀକ୍ଷା ଟ୍ୟାଗ୍
this is testing tag,ଏହା ପରୀକ୍ଷା ଟ୍ୟାଗ୍ |
hello world,ନମସ୍କାର ବିଶ୍ୱବାସି
love,ପ୍ରେମ
pyaar,ପ୍ରେମ
boyfriend,ପ୍ରେମିକ
happy,ଖୁସି
relationship,ସମ୍ପର୍କ
jaan,ହଁ
jaanu,ଜାଣନ୍ତୁ |
janu,ଜାନୁଆରୀ
flower,ଫୁଲ
wish,ଇଚ୍ଛା
anniversary,ବାର୍ଷିକୀ
sad,ଦୁ sad ଖୀ
breakup,ବିଚ୍ଛିନ୍ନ
fight,ଯୁଦ୍ଧ କର
crying,କାନ୍ଦୁଛି
heartbroken,ହୃଦୟ ଭାଙ୍ଗି
heart,ହୃଦୟ
girlfriend,ଗର୍ଲଫ୍ରେଣ୍ଡ
greeting,ନମସ୍କାର
proposal,ପ୍ରସ୍ତାବ
surprised,ଆଶ୍ଚର୍ଯ୍ୟ
dhoka,ପ୍ରତାରଣା |
park,ପାର୍କ
thinking,ଚିନ୍ତା
hopeless,ନିରାଶା
waiting,ଅପେକ୍ଷା
dil,ଦିଲ୍
misunderstanding,ଭୁଲ ବୁ standing ାମଣା
question,ପ୍ରଶ୍ନ
confused,ଦ୍ୱନ୍ଦ୍ୱରେ |
sawaal,ପ୍ରଶ୍ନ |
call,କଲ୍ କରନ୍ତୁ |
phone,ଫୋନ୍ |
phonecall,ଫୋନ୍ କଲ
angry,କ୍ରୋଧିତ |
missed,ମିସ୍
bird,ପକ୍ଷୀ
friend,ସାଙ୍ଗ
crow,କାଉ
dost,ଯଥେଷ୍ଟ
sarcasm,ପରିହାସ
cow,ଗା cow
animal,ପଶୁ
friends,ସାଙ୍ଗଗଣ
gussa,କ୍ରୋଧିତ |
work,କାମ
lies,ମିଥ୍ୟା
liar,ମିଥ୍ୟାବାଦୀ
monkey,ମାଙ୍କଡ଼
fun,ମଜା
ginger,ଅଦା
fruit,ଫଳ
anar,ଯିବାକୁ
dance,ନୃତ୍ୟ
joke,ଥଟ୍ଟା
water,ଜଳ
