bobble,बडबड
sticker,स्टिकर
keyboard,कीबोर्ड
testing tag,चाचणी टॅग
this is testing tag,हे चाचणी टॅग आहे
hello world,हॅलो वर्ल्ड
love,प्रेम
pyaar,प्रेम
boyfriend,प्रियकर
happy,आनंदी
relationship,संबंध
jaan,होय
jaanu,माहित आहे
janu,जाने.
flower,फूल
wish,इच्छा
anniversary,वर्धापनदिन
sad,दु: खी
breakup,ब्रेकअप
fight,लढा
crying,रडणे
heartbroken,हृदयविकाराचा
heart,हृदय
girlfriend,मैत्रीण
greeting,अभिवादन
proposal,प्रस्ताव
surprised,आश्चर्यचकित
dhoka,फसवणूक
park,पार्क
thinking,विचार
hopeless,निराश
waiting,प्रतीक्षा
dil,dil
misunderstanding,गैरसमज
question,प्रश्न
confused,गोंधळलेला
sawaal,प्रश्न
call,कॉल करा
phone,फोन
phonecall,फोन कॉल
angry,राग
missed,गमावले
bird,पक्षी
friend,मित्र
crow,कावळा
dost,पुरेशी
sarcasm,व्यंग
cow,गाय
animal,प्राणी
friends,मित्र
gussa,संतप्त
work,काम
lies,खोटे
liar,लबाड
monkey,माकड
fun,मजेदार
ginger,आले
fruit,फळ
anar,जाण्यासाठी
dance,नृत्य
joke,विनोद
water,पाणी
best friend,चांगला मित्र
rain,पाऊस
barish,पाऊस
wet,ओले
skate board,स्केट बोर्ड
kite,पतंग
patang,पतंग
playing,खेळत आहे
maza,काय?
jump,उडी
khel,खेळ
hurray,हर्रे
wow,व्वा
OMG,ओएमजी
school,शाळा
uniform,गणवेश
bag,पिशवी
study,अभ्यास
student,विद्यार्थी
padhai,अभ्यास
party,पार्टी
beach,बीच
cool,मस्त
swim,पोहणे
pool,पूल
float,तरंगणे
swimming,पोहणे
ride,चालविणे
race,शर्यत
hurry,घाई करा
coming,येणाऱ्या
scooter,स्कूटर
wait,प्रतीक्षा करा
umbrella,छत्री
rainy day,पावसाळी दिवस
reading,वाचन
books,पुस्तके
book,पुस्तक
read,वाचा
enjoy,आनंद घ्या
paper,कागद
boat,बोट
office,कार्यालय
super trump,सुपर ट्रम्प
donald trump,डोनाल्ड ट्रम्प
wig,विग
orange hair,केशरी केस
yellow hair,पिवळे केस
usa,संयुक्त राज्य
u.s.a,संयुक्त राज्य
politicians,राजकारणी
politics,राजकारण
hair styles,केसांच्या शैली
hair drier,केस ड्रायर
president,अध्यक्ष
the states,राज्ये
politician,राजकारणी
american elections,अमेरिकन निवडणुका
elections,निवडणुका
campaign,मोहीम
american elections 2016,अमेरिकन निवडणुका २०१.
greatest,महान
orange,केशरी
trump,ट्रम्प
US,यूएस
campaigns,मोहिमा
funny,मजेदार
hair,केस
yellow,पिवळा
honest,प्रामाणिक
honesty,प्रामाणिकपणा
honest politicians,प्रामाणिक राजकारणी
america,अमेरिका
leader,नेता
people,लोक
confident,आत्मविश्वास
support,समर्थन
political party,राजकीय पक्ष
selfie,सेल्फी
trumpfie,ट्रम्पि
picture,चित्र
photo,छायाचित्र
camera,कॅमेरा
donald trump hair,डोनाल्ड ट्रम्प केस
trump hair,ट्रम्प केस
silk,रेशीम
silky,रेशमी
silky hair,रेशमी केस
dresser,ड्रेसर
