bobble,ધક્કો મારવો
sticker,સ્ટીકર
keyboard,કીબોર્ડ
testing tag,પરીક્ષણ ટ tagગ
this is testing tag,આ પરીક્ષણ ટ tagગ છે
hello world,હેલો વર્લ્ડ
love,પ્રેમ
pyaar,પ્રેમ
boyfriend,બોયફ્રેન્ડ
happy,ખુશ
relationship,સંબંધ
jaan,હા
jaanu,જાણું
janu,જાન.
flower,ફૂલ
wish,ઇચ્છા
anniversary,વર્ષગાંઠ
sad,ઉદાસી
breakup,છુટુ થવું
fight,લડવા
crying,રડવું
heartbroken,હાર્ટબ્રોકન
heart,હૃદય
girlfriend,ગર્લફ્રેન્ડ
greeting,અભિવાદન
proposal,દરખાસ્ત
surprised,આશ્ચર્ય
dhoka,ચીટ
park,ઉદ્યાન
thinking,વિચારવું
hopeless,નિરાશ
waiting,રાહ જોવી
dil,dil
misunderstanding,ગેરસમજ
question,પ્રશ્ન
confused,મૂંઝવણમાં
sawaal,પ્રશ્ન
call,ક callલ કરો
phone,ફોન
phonecall,ફોન કૉલ
angry,ગુસ્સો
missed,ચૂકી
bird,પક્ષી
friend,મિત્ર
crow,કાગડો
dost,પર્યાપ્ત
sarcasm,કટાક્ષ
cow,ગાય
animal,પ્રાણી
friends,મિત્રો
gussa,ક્રોધિત
work,કામ
lies,ખોટું
liar,ખોટું
monkey,વાંદરો
fun,મજા
ginger,આદુ
fruit,ફળ
anar,જવા માટે
dance,નૃત્ય
joke,મજાક
water,પાણી
best friend,શ્રેષ્ઠ મિત્ર
rain,વરસાદ
barish,વરસાદ
wet,ભીનું
skate board,સ્કેટ બોર્ડ
kite,પતંગ
patang,પતંગ
playing,રમતા
maza,શું
jump,કૂદી
khel,આ રમત
hurray,હરરે
wow,વાહ
OMG,અરે મારા ભગવાન
school,શાળા
uniform,ગણવેશ
bag,થેલી
study,અભ્યાસ
student,વિદ્યાર્થી
padhai,અધ્યયન
party,પાર્ટી
beach,બીચ
cool,સરસ
swim,તરી
pool,પૂલ
float,ફ્લોટ
swimming,તરવું
ride,રાઇડ
race,રેસ
hurry,ઉતાવળ કરવી
coming,આવતા
scooter,સ્કૂટર
wait,રાહ જુઓ
umbrella,છત્ર
rainy day,વરસાદી દિવસ
reading,વાંચન
books,પુસ્તકો
book,પુસ્તક
read,વાંચવું
enjoy,આનંદ
paper,કાગળ
boat,બોટ
office,ઓફિસ
super trump,સુપર ટ્રમ્પ
donald trump,ડોનાલ્ડ ટ્રમ્પ
wig,વિગ
orange hair,નારંગી વાળ
yellow hair,પીળા વાળ
usa,યૂુએસએ
u.s.a,યૂુએસએ
politicians,રાજકારણીઓ
politics,રાજકારણ
hair styles,વાળ શૈલીઓ
hair drier,વાળ સૂકવવાનું યંત્ર
president,રાષ્ટ્રપતિ
the states,રાજ્યો
politician,રાજકારણી
american elections,અમેરિકન ચૂંટણી
elections,ચૂંટણી
campaign,ઝુંબેશ
american elections 2016,અમેરિકન ચૂંટણી 2016
greatest,મહાન
orange,નારંગી
trump,ટ્રમ્પ
US,યુ.એસ.
campaigns,ઝુંબેશ
funny,રમુજી
hair,વાળ
yellow,પીળો
honest,પ્રામાણિક
honesty,પ્રામાણિકતા
honest politicians,પ્રામાણિક રાજકારણીઓ
america,અમેરિકા
leader,નેતા
people,લોકો
confident,આત્મવિશ્વાસ
support,આધાર
political party,રાજકીય પક્ષ
selfie,સેલ્ફી
trumpfie,ટ્રમ્ફી
picture,ચિત્ર
photo,ફોટો
camera,ક cameraમેરો
donald trump hair,ડોનાલ્ડ ટ્રમ્પ વાળ
trump hair,ટ્રમ્પ વાળ
silk,રેશમ
silky,રેશમી
silky hair,રેશમી વાળ
dresser,ડ્રેસર
hair style,વાળ શૈલી
hair dresser,વાળ ડ્રેસર
super hero trump,સુપર હીરો ટ્રમ્પ
i am trump,હું ટ્રમ્પ છું
i,i
am,છું
american politics,અમેરિકન રાજકારણ
american election 2016,અમેરિકન ચૂંટણી 2016
rockstar,પ્રખ્યાત ગાયક
americans,અમેરિકનો
america elections 2016,અમેરિકાની ચૂંટણી 2016
tomorrow,આવતીકાલે
lazy,આળસુ
tired,થાકેલા
laidback,પછાડવું
laze,લેઝ
procrastination,વિલંબ
procrastinate,વિલંબ
delay,વિલંબ
morning,સવારે
work day,કામનો દિવસ
weekend,સપ્તાહના અંતે
off,બંધ
weekends,સપ્તાહાંત
holidays,રજાઓ
no,ના
bath,સ્નાન
sunday,રવિવાર
weekend holiday,સપ્તાહમાં રજા
weekend off,સપ્તાહમાં બંધ
weekend trip,સપ્તાહમાં સફર
wash,ધોવું
home,ઘર
clothes,કપડાં
pyjamas,પાયજામા
lazy sunday,આળસુ રવિવાર
best,શ્રેષ્ઠ
offs,sફ્સ
pyjama party,pajama પાર્ટી
unwind,unwind
relaxing,.ીલું મૂકી દેવાથી
busy,વ્યસ્ત
hibernation,હાઇબરનેશન
sofa,સોફા
couch,સો ફા
couch potato,પલંગ બટાટા
silence,મૌન
sleeping,ઊંઘમાં
lazing,લzingઝિંગ
unwinding,અનિવાન્ડીંગ
today,આજે
nothing,કંઈ નહીં
doing,કરી
relax,આરામ કરો
chilling,ઠંડક
lazy ass,આળસુ ગર્દભ
chill,મરચી
no work,કોઈ કામ નથી
holiday,રજા
sundays,રવિવાર
vacation,વેકેશન
lazy bum,આળસુ બમ
eat,ખાવું
sleep,ઊંઘ
repeat,પુનરાવર્તન
resting,આરામ
glutton,ખાઉધરાપણું
eating,ખાવું
hungry,ભૂખ્યા
foodie,ખોરાકનાં શોખીન
good morning,સુપ્રભાત
sunrise,સૂર્યોદય
woke,જાગી
awake,જાગૃત
up,ઉપર
rise up,ઉભા થવું, ઊઠવું
day,દિવસ
in bed,પથારીમાં
bed,બેડ
sleepy,yંઘમાં
woke up,જાગ્ય઼ો
useless,નકામું
vacations,રજાઓ
saturday,શનિવાર
week off,સપ્તાહ રજા
idle,નિષ્ક્રિય
pizza,પીત્ઝા
pancakes,પcનકakesક્સ
food,ખોરાક
food items,ખાદ્ય વસ્તુઓ
indulgence,ભોગવે છે
weekend indulgence,સપ્તાહના ભોગવે છે
rajnikanth,રજનીકાંત
rajnikant,રજનીકાંત
thalaiva,દ્વારમંડપ
south indian cinema,દક્ષિણ ભારતીય સિનેમા
tamil actor,તામિલ અભિનેતા
tamil movies,તામિલ મૂવીઝ
movies,મૂવીઝ
south indian,દક્ષિણ ભારતીય
south indian actor,દક્ષિણ ભારતીય અભિનેતા
movie dialogues,મૂવી સંવાદો
understand,સમજવું
better,વધુ સારું
style,શૈલી
cant,પોકળ વાણી
stop,બંધ
stop me,મને રોકો
south indian movies,દક્ષિણ ભારતીય મૂવીઝ
play,રમ
ball,દડો
action,ક્રિયા
drama,નાટક
kon,શકે
kaun,કોણ
who,WHO
rok,વર્ષ
aaram,બાકીના
time,સમય
rest,આરામ
south indian dialogues,દક્ષિણ ભારતીય સંવાદો
south india,દક્ષિણ ભારત
bullet,ગોળી
goli,ગોળી
fast,ઝડપી
tez,ખાસ કરીને ડૉક્ટરેટપદવી
anna,અન્ના
sotuh india,દક્ષિણ ભારત
fastest,સૌથી ઝડપી
faster,ઝડપી
rajnikanth jokes,રજનીકાંત મજાક કરે છે
yanna rascala,યન્ના રસલા
rascala,રસિક
actor,અભિનેતા
indian actor,ભારતીય અભિનેતા
lungi,lengthen
master,માસ્ટર
lungi master,લુંગી માસ્ટર
rajni,રાજકારણી
lungi dance,લુંગી ડાન્સ
chalbaaz,યુક્તિબાજ
movie dialog,મૂવી સંવાદ
liquor,દારૂ
booze,બૂઝ
drinking,પીવું
drunk,નશામાં
indian movies,ભારતીય ફિલ્મો
rajnikanth dialogues,રજનીકાંત સંવાદો
dialogues,સંવાદો
chamak,ચમકવું
shine,ચમકવું
twenty twenty,વીસ વીસ
sachin,સાચીન
batting,બેટિંગ
bowling,ક્રિકેટમાં દડાને નાખવાની ક્રિયા
indian cricket team,ભારતીય ક્રિકેટ ટીમ
indian cricket,ભારતીય ક્રિકેટ
cricket world cup,ક્રિકેટ વર્લ્ડ કપ
cricketer,ક્રિકેટર
sports,રમતો
cricket fans,ક્રિકેટ ચાહકો
fan,ચાહક
bat,બેટ
bowl,બાઉલ
india,ભારત
you,તમે
balls,બોલમાં
cricket,ક્રિકેટ
indian cricketers,ભારતીય ક્રિકેટરો
batsman,બેટ્સમેન
bowler,બોલર
injury,ઈજા
bowled,બોલ્ડ
match,મેચ
catch,કેચ
out,બહાર
run out,રન આઉટ
cricket match,ક્રિકેટ મેચ
hit,ફટકો
maar,પરંતુ
punch,પંચ
howzzat,હોવઝેટ
indian cricketer,ભારતીય ક્રિકેટર
that,કે
six,છ
sixer,છક્કા
shot,ગોળી
clap,તાલી
what,શું
dont,dont
be,હોઈ
duck,બતક
bend,વાળવું
low,નીચા
sachin tendulkar,સાચીન તેંડુલકર
tendulkar,તેંડુલકર
god,ભગવાન
god of cricket,ક્રિકેટના ભગવાન
indian cricket match,ભારતીય ક્રિકેટ મેચ
century,સદી
match night,મેચ રાત
sports injury,રમતો ઈજા
cricket kit,ક્રિકેટ કીટ
match score,મેચ સ્કોર
score,સ્કોર
win,જીત
lost,ખોવાઈ ગઈ
victory,વિજય
bata,બાળક
video,વિડિઓ
online,ઓનલાઇન
cricket fan,ક્રિકેટ ચાહક
player,ખેલાડી
third,ત્રીજું
3rd,બતાવો
umpire,અમ્પાયર
referee,રેફરી
indian team,ભારતીય ટીમ
indian player,ભારતીય ખેલાડી
12th,12 મી
man,માણસ
twelveth,બારમો
indian crickter,ભારતીય ક્રિકેટર
saale,સેલ
smooth,સરળ
delivery,ડિલિવરી
commentary,ભાષ્ય
cricket commentary,ક્રિકેટ કોમેન્ટરી
strike,હડતાલ
cheerleader,ચીયરલિડર
cheer,ખુશખુશાલ
match fixing,મેચ ફિક્સિંગ
fixing,ફિક્સિંગ
bik,બેક
tu,તમે
cricket team,ક્રિકેટ ટીમ
can,કરી શકો છો
drive,ડ્રાઇવ
players,ખેલાડીઓ
full,ભરેલું
toss,ટssસ
full toss,સંપૂર્ણ ટssસ
pitch,પીચ
bounce,બાઉન્સ
ek,એક
one,એક
bouncer,બાઉન્સર
do,કરવું
not,નથી
afraid,ભયભીત
scared,ભયભીત
hero,હીરો
super hero,સુપર હીરો
powerpuff girls,પાવરપફ છોકરીઓ
powerpuff,પાવરપફ
girls,છોકરીઓ
power,શક્તિ
daring,હિંમતવાન
strong,મજબૂત
bold,બોલ્ડ
fighter woman,ફાઇટર મહિલા
fighter,ફાઇટર
here,અહીં
I am,હું છું
cartoon network,કાર્ટુન નેટવર્ક
cartoon,કાર્ટૂન
professor,પ્રોફેસર
ehh,એહ
whats up,શું છે?
sup,સહાયક
doc,ડ docક
doctor,ડ doctorક્ટર
bugs bunny,ભૂલો સસલા માટેનું લાડકું નામ
rabbit,સસલું
carrot,ગાજર
annoying,હેરાન કરે છે
cartoons,કાર્ટૂન
cartooon network,કાર્ટુન નેટવર્ક
bunny,સસલા માટેનું લાડકું નામ
cute,સુંદર
hey,હેય
hi,હાય
the,આ
is,છે
yours,તમારું
captain planet,કેપ્ટન ગ્રહ
planet,ગ્રહ
captain,કેપ્ટન
brave,બહાદુર
empowering,સશક્તિકરણ
will,કરશે
hunt,શિકાર
down,નીચે
hunter,શિકારી
road runner,માર્ગ દોડવીર
The Road Runner,ધ રોડ રનર
The Coyote,કોયોટે
looney toons,લોની ટૂન્સ
toons,ટૂન્સ
animal instincts,પ્રાણીય વૃત્તિ
beep beep,બીપ બીપ
acme,acme
pretty,સુંદર
are,છે
I m,હું છું
johnny,જોહની
johnny bravo,જોહની બ્રાવો
bravo,બ્રાવો
dude,વરણાગિયું માણસ
sexy,સેક્સી
mojo jojo,મોજો જોજો
villain,વિલન
evil,દુષ્ટ
wicked,દુષ્ટ
bad,ખરાબ
baddie,બેડ્ડી
cruel,ક્રૂર
cruel intentions,ક્રૂર ઇરાદા
bff,બીએફ
forever,કાયમ માટે
life,જીવન
ed edd and eddy,ed એડ અને એડી
ed,ઇડી
edd,ઇડી
eddy,એડી
bestie,જાનવરોનો
log,લ .ગ
imaginary,કાલ્પનિક
imaginary friend,કાલ્પનિક મિત્ર
plank,પાટિયું
aww,ઓડબ્લ્યુ
moment,ક્ષણ
great,મહાન
childhood,બાળપણ
ruined,બરબાદ
cats,બિલાડીઓ
swat cats,સ્વાટ બિલાડી
roll,રોલ
bahadur bille,બહાદુર બિલાડીઓ
swat,સ્વાટ
swat kats,સ્વાટ બિલાડી
bade miyan,મોટા મિયાં
chote miyan,નાનું મિયાં
fighters,લડવૈયાઓ
best friends,ખાસ મિત્ર
The Radical Squadron,રેડિકલ સ્ક્વોડ્રોન
BADE MEOW,MADOW BADE
CHOTE,નાનું
MEOW,મેઓવ
cartoon shows,કાર્ટૂન શો
children,બાળકો
