bobble,Bobble
sticker,స్టికర్
keyboard,కీబోర్డ్
testing tag,పరీక్ష ట్యాగ్
this is testing tag,ఇది ట్యాగ్‌ను పరీక్షిస్తోంది
hello world,హలో ప్రపంచం
love,ప్రేమ
pyaar,ప్రేమ
boyfriend,ప్రియుడు
happy,సంతోషంగా
relationship,సంబంధం
jaan,Jan
jaanu,నో
janu,Janu
flower,పుష్పం
wish,కోరిక
anniversary,వార్షికోత్సవం
sad,విచారంగా
breakup,విడిపోవటం
fight,పోరాటం
crying,ఏడుపు
heartbroken,గుండెపగిలిపోయింది
heart,గుండె
girlfriend,స్నేహితురాలు
greeting,గ్రీటింగ్
proposal,ప్రతిపాదన
surprised,ఆశ్చర్యం
dhoka,మోసగాడు
park,పార్క్
thinking,ఆలోచన
hopeless,నిస్సహాయ
waiting,వేచి
dil,గుండె
misunderstanding,అపార్ధం
question,ప్రశ్న
confused,గందరగోళం
sawaal,ప్రశ్న
call,కాల్
phone,ఫోన్
phonecall,ఫోన్ కాల్
angry,కోపం
missed,తప్పిన
bird,పక్షి
friend,స్నేహితుడు
crow,కాకి
dost,తగినంత
sarcasm,వ్యంగ్యం
cow,ఆవు
animal,జంతు
friends,స్నేహితులు
gussa,యాంగ్రీ
work,పని
lies,అసత్యాలు
liar,అబద్ధాల
monkey,కోతి
fun,సరదాగా
ginger,అల్లం
fruit,పండు
anar,వెళ్ళడానికి
dance,నృత్యం
joke,జోక్
water,నీటి
best friend,ఆప్త మిత్రుడు
rain,వర్షం
barish,వర్షం
wet,తడి
skate board,స్కేట్ బోర్డు
kite,గాలిపటం
patang,కైట్
playing,ప్రదర్శనా
maza,ఏం
jump,ఎగిరి దుముకు
khel,ఆట
hurray,హుర్రే
wow,వావ్
OMG,ఓరి దేవుడా
school,పాఠశాల
uniform,ఏకరీతి
bag,బ్యాగ్
study,అధ్యయనం
student,విద్యార్ధి
padhai,స్టడీ
party,పార్టీ
beach,బీచ్
cool,చల్లని
swim,ఈత
pool,పూల్
float,ఫ్లోట్
swimming,ఈత
ride,రైడ్
race,రేసు
hurry,అత్యవసరము
coming,వచ్చే
scooter,స్కూటర్
wait,వేచి
umbrella,గొడుగు
rainy day,వర్షపు రోజు
reading,పఠనం
books,పుస్తకాలు
book,పుస్తకం
read,చదవండి
enjoy,ఆనందించండి
paper,కాగితం
boat,పడవ
office,ఆఫీసు
super trump,సూపర్ ట్రంప్
donald trump,డోనాల్డ్ ట్రంప్
