sunday hai aaj,संडे है आज
movie chal,फिल्म के सी.एल.
playing guitar,गिटार बजाना
gana baja du,गण बाजा दू
guitar sunoge,गिटार सुनोगे
mera gana sun le,मेरा गण सूर्य ले
at home,घर पर
fun at home,घर पर मज़ा
with girlfriend,प्रेमिका के साथ
alya bhatt,इला भट्ट
rajpal yadav,राजपाल यादव
rajpal,राजपाल
yadav,यादव
alya bhaat,आलिया भट्ट
Wayang golek,कठपुतली शो
sunda,सुंडानी
lokal,स्थानीय
Wayang,कठपुतली
budaya,संस्कृति
angklung,angklung
alat musik,वाद्य यंत्र
jaipong,jaipong
tarian,नृत्य
sisingaan,sisingaan
bajidor,bajidor
Rampak gendang,रेंडेंग ड्रम
musik,संगीत
awug,awug
Kuda renggong,NyataDanMaya
Lalab,lalab
Maenpo cikalong,अच्छी नौकरी
silat,silat
jajaka,अविवाहित
adat,डेटा
mojang,Mojang
My Little Pony,मेरा छोटा घोडा
pony movie,टट्टू फिल्म
I love cartoon,मुझे कार्टून पसंद है
so cute,कितना सुंदर
dedh sara pyar,डेढ़ सारा प्यार
pony,टट्टू
bhut pyara,बहुत प्यारा
cartoon movie,कार्टून फिल्म
kids channel,बच्चों का चैनल
bacho wali bat,बचो वाली बात
hans lo bhai,हंस लो भाई
Ratu laut selatan,साउथ सी क्वीन
hantu,भूत
misteri,एक रहस्य
mistis,mystically
karwa chauth,करवा चौथ
chauth,चौथ
karwa,करवा
vrat,गरदन
patni,पत्नी
aaj karwa chauth hai,आज करवा चौथ है
karwa chauth ka vrat,करवा चौथ का व्रत
banking,बैंकिंग
ban,आधा
supreme court,उच्चतम न्यायालय
uch nyayalay,उच्च न्यायलय
buy patakha,बुय पटाखा
subh diwali,शुभ दिवाली
subh dipawali,शुभ दीपावली
dont burn crackers,पटाखे न जलाएं
crackers ban,पटाखे बैन
haapy dipawali,हपय दीपावली
subh,सुबह
nyayalay,न्यायलय
going home in diwali,दीवाली में घर जाना
have a blast this diwali,इस दीवाली एक धमाका करो
burning rocket,जलता हुआ रॉकेट
have a blast,एक विस्फोट किया
buying rocket,रॉकेट खरीदना
safe dipawali,सेफ दीपावली
safe diwali,सुरक्षित दीपावली
pollution free diwali,प्रदूषण मुक्त दीपावली
patakha mat jalao,पटाखा मत जलाओ
pollution bhut hai,पोल्लुशण बहुत है
pollution ho jata hai,पोल्लुशण हो जाता है
crackers free diwali,पटाखे मुफ्त दिवाली
pollution mask,प्रदूषण का मुखौटा
