bobble,ڪوبہ
sticker,اسٽيڪر
keyboard,ڪيبورڊ
testing tag,چڪاس واري ٽيگ
this is testing tag,اها آزمائشي ٽيگ آهي
hello world,هيلو دنيا
love,پيار
pyaar,پيار
boyfriend,ڇوڪرو
happy,خوشي
relationship,رشتي
jaan,ها
jaanu,ڄاڻو
janu,جنوري
flower,گل
wish,خواهش
anniversary,ورسي
sad,اداس
breakup,ٽٽڻ
fight,وڙهو
crying,روئڻ
heartbroken,ٿڪل
heart,دل
girlfriend,پياري
greeting,سلام
proposal,تجويز
surprised,حيرت انگيز
dhoka,ٺڳي
park,پارڪ
thinking,سوچڻ
hopeless,ناهن
waiting,انتظار ڪري رهيو آهيان
dil,دل
misunderstanding,غلط سمجھ
question,سوال
confused,پريشان
sawaal,سوال
call,سڏ
phone,فون
phonecall,فون ڪال
angry,ڪاوڙجي ويو
missed,مس ٿي ويو
bird,پکي
friend,دوست
crow,ڪانو
dost,ڪافي
sarcasm,سادات
cow,ڳئون
animal,حيوان
friends,دوست
gussa,ناراض
work,ڪم
lies,ڪوڙ آهي
liar,جهان
monkey,بندر
fun,مذاق
ginger,آنگر
fruit,ڦر
anar,وڃڻ
dance,ناچ
joke,مذاق
water,پاڻي
best friend,بهترين دوست
rain,مينهن
barish,مينهن
wet,ڳاڙهو
skate board,ٻيٽ بورڊ
kite,لغڙ
patang,لغڙ
playing,کيڏڻ
maza,ڇا؟
jump,ٽپو
khel,راند
hurray,هورا
wow,واھ
OMG,او ايم پي
school,اسڪول
uniform,يونيفارم
bag,ٻلي
study,اڀياس
student,شاگرد
padhai,اڀياس
party,پارٽي
beach,ساحل
cool,عمده
swim,ترڻ
pool,تلاء
float,سچل
swimming,ترڻ
ride,سواري ڪريو
race,مذهب
hurry,جلدي
coming,اچي رهيو آهي
scooter,سکيوڪر
wait,انتظار ڪر
umbrella,ڇانو
rainy day,برساتي ڏينهن
reading,پڙهڻ
books,ڪتاب
book,ڪتاب
read,پڙهو
enjoy,مزو وٺندو
paper,ڪاغذ
boat,ٻيڙيء جو
office,آفيس
super trump,وڏو ٽاپ
donald trump,ڊونڊڊ ٽراپ
wig,وگ
orange hair,نارنگي وار
