bobble,bobble
sticker,कँटिया
keyboard,कीबोर्ड
testing tag,परीक्षण टैग
this is testing tag,यह परीक्षण टैग है
hello world,नमस्ते दुनिया
love,प्रेम
pyaar,प्यार
boyfriend,प्रेमी
happy,प्रसन्न
relationship,संबंध
jaan,जनवरी
jaanu,जानें
janu,जानू
flower,फूल
wish,तमन्ना
anniversary,सालगिरह
sad,उदास
breakup,संबंध विच्छेद
fight,लड़ाई
crying,रोना
heartbroken,टूटा हुआ दिल
heart,दिल
girlfriend,प्रेमिका
greeting,शुभकामना
proposal,प्रस्ताव
surprised,आश्चर्य चकित
dhoka,धोका
park,पार्क
thinking,विचारधारा
hopeless,निराशाजनक
waiting,इंतज़ार कर रही
dil,दिल
misunderstanding,गलतफ़हमी
question,सवाल
confused,उलझन में
sawaal,सवाल
call,कॉल
phone,फ़ोन
phonecall,फ़ोन कॉल
angry,गुस्सा
missed,चुक गया
bird,चिड़िया
friend,मित्र
crow,कौआ
dost,काफी
sarcasm,ताना
cow,गाय
animal,जानवर
friends,दोस्त
gussa,गुस्सा
work,काम
lies,झूठ
liar,झूठा
monkey,बंदर
fun,आनंद
ginger,अदरक
fruit,फल
anar,जाने के लिए
dance,नृत्य
joke,मज़ाक
water,पानी
best friend,सबसे अच्छा दोस्त
rain,बारिश
barish,बारिश
wet,भीगा हुआ
skate board,स्केट बोर्ड
kite,पतंग
patang,पतंग
playing,खेल रहे हैं
maza,क्या
jump,कूद
khel,खेल
hurray,हुर्रे
wow,वाह
OMG,हे भगवान
school,स्कूल
uniform,वर्दी
bag,बैग
study,अध्ययन
student,छात्र
padhai,पढाई
party,पार्टी
beach,समुद्र तट
cool,ठंडा
swim,तैरना
pool,पूल
float,नाव
swimming,तैराकी
ride,सवारी
race,दौड़
hurry,जल्दी कीजिये
coming,अ रहे है
scooter,स्कूटर
wait,रुको
umbrella,छतरी
rainy day,बारिश का दिन
reading,पढ़ना
books,पुस्तकें
book,किताब
read,पढ़ना
enjoy,का आनंद लें
paper,कागज़
boat,नाव
office,कार्यालय
super trump,सुपर ट्रम्प
donald trump,डोनाल्ड ट्रम्प
wig,विग
orange hair,नारंगी बाल
yellow hair,पीले बाल
usa,अमेरीका
u.s.a,अमेरीका
politicians,राजनेताओं
politics,राजनीति
hair styles,बाल शैलियों
hair drier,हेयर ड्रायर
president,अध्यक्ष
the states,राज्य
politician,राजनीतिज्ञ
american elections,अमेरिकी चुनाव
elections,चुनाव
campaign,अभियान
american elections 2016,अमेरिकी चुनाव 2016
greatest,महानतम
orange,संतरा
trump,तुस्र्प
US,अमेरिका
campaigns,अभियान
funny,मजेदार
hair,बाल
yellow,पीला
honest,ईमानदार
honesty,ईमानदारी
honest politicians,ईमानदार राजनेता
america,अमेरिका
leader,नेता
people,लोग
confident,
support,सहयोग
political party,राजनीतिक दल
selfie,सेल्फी
trumpfie,trumpfie
picture,चित्र
photo,तस्वीर
camera,कैमरा
donald trump hair,डोनाल्ड ट्रम्प बाल
trump hair,ट्रम्प के बाल
silk,रेशम
