bobble,குமிழ்
sticker,ஓட்டி
keyboard,விசைப்பலகை
testing tag,சோதனை குறிச்சொல்
this is testing tag,இது சோதனை குறிச்சொல்
hello world,ஹலோ உலகம்
love,காதல்
pyaar,காதல்
boyfriend,காதலன்
happy,சந்தோஷமாக
relationship,உறவு
jaan,ஆம்
jaanu,தெரியும்
janu,ஜன.
flower,பூ
wish,விரும்பும்
anniversary,ஆண்டுவிழா
sad,சோகம்
breakup,முறிவு
fight,சண்டை
crying,அழுகிறது
heartbroken,மனம் உடைந்த
heart,இதயம்
girlfriend,காதலி
greeting,வாழ்த்து
proposal,திட்டம்
surprised,ஆச்சரியமாக இருக்கிறது
dhoka,ஏமாற்றுக்காரன்
park,பூங்கா
thinking,சிந்தனை
hopeless,நம்பிக்கையற்ற
waiting,காத்திருக்கிறது
dil,dil
misunderstanding,தவறான புரிதல்
question,கேள்வி
confused,குழப்பமான
sawaal,கேள்வி
call,அழைப்பு
phone,தொலைபேசி
phonecall,தொலைபேசி அழைப்பு
angry,கோபம்
missed,தவறவிட்டது
bird,பறவை
friend,நண்பர்
crow,காகம்
dost,போதும்
sarcasm,கிண்டல்
cow,மாடு
animal,விலங்கு
friends,நண்பர்கள்
gussa,கோபம்
work,வேலை
lies,பொய்கள்
liar,பொய்யர்
monkey,குரங்கு
fun,வேடிக்கை
ginger,இஞ்சி
fruit,பழம்
anar,செல்ல
dance,நடனம்
joke,நகைச்சுவை
water,தண்ணீர்
best friend,சிறந்த நண்பர்
rain,மழை
barish,மழை
wet,ஈரமான
skate board,ஸ்கேட் போர்டு
kite,காத்தாடி
patang,காத்தாடி
playing,விளையாடுகிறது
maza,என்ன?
jump,குதி
khel,விளையாட்டு
hurray,அவசரம்
wow,ஆஹா
OMG,OMG
school,பள்ளி
uniform,சீருடை
bag,பை
study,படிப்பு
student,மாணவர்
padhai,ஆய்வுகள்
party,கட்சி
beach,கடற்கரை
cool,குளிர்
swim,நீந்த
pool,பூல்
float,மிதவை
swimming,நீச்சல்
ride,சவாரி
race,இனம்
hurry,அவசரம்
coming,வருகிறது
scooter,ஸ்கூட்டர்
wait,காத்திரு
umbrella,குடை
rainy day,மழை நாள்
reading,வாசிப்பு
books,புத்தகங்கள்
book,நூல்
read,படி
enjoy,மகிழுங்கள்
paper,காகிதம்
boat,படகு
office,அலுவலகம்
super trump,சூப்பர் டிரம்ப்
donald trump,டொனால்டு டிரம்ப்
wig,விக்
orange hair,ஆரஞ்சு முடி
yellow hair,மஞ்சள் முடி
usa,அமெரிக்கா
u.s.a,அமெரிக்கா
politicians,அரசியல்வாதிகள்
politics,அரசியல்
hair styles,முடி பாணிகள்
hair drier,முடி உலர்த்தி
president,ஜனாதிபதி
