colva,കോൾവ
anjuna,anjuna
baga,ഇടുക
candolim,മെഴുകുതിരി
arambol,അരാംബോൾ
dilwalon,ഡിൽ‌വാലോൺ
dilli,ദില്ലി
capital,മൂലധനം
dilwalokidilli,ദിലാവലോക്കിഡില്ലി
mindit,മിംദിത്
Chennai,ചെന്നൈ
TamilNadu,തമിഴ്‌നാട്
SouthIndia,കിണറ്
changa,ചങ്ക
chandigarh,ചണ്ഡിഗഡ്
haryana,ഹരിയാന
misti,മിക്സഡ്
howrah,ഹൗറ
kolkata,കൊൽക്കത്ത
westbengal,പടിഞ്ഞാറൻ ബംഗാൾ
Arunachal,അരുണാചൽ
ArunachalPradesh,അരുണാചൽപ്രദേശ്
risingsun,risingsun
UttarPradesh,ഉത്തർപ്രദേശ്
thumka,പറഞ്ഞല്ലോ
ret,വലത്
khet,ഫാം
rajasthan,രാജസ്ഥാൻ
sand dunes,മണൽത്തീരങ്ങൾ
bhangra,ഭംഗ്ര
bombay,ബോംബെ
amchimumbai,amchimumbai
mumbaimerijaan,മുംബൈ
yadekh,മെമ്മറി
dole,ഡോൾ
ghee,നെയ്യ്
unge,യുവ
ungeaa,നിങ്ങൾ ഉറങ്ങുക
risky,അപകടസാധ്യതയുള്ളത്
gujjar,ഗുജ്ജാർ
gujar,കടന്നുപോകുന്നു
gujjarboy,ഗുജ്ജാർബോയ്
romrom,റോമ്രോം
rom,ROM
ramram,റാംറാം
tau,നിങ്ങളുടെ
rait,ചിരിക്കുന്നു
nikal,നിക്കൽ
kah,kah
chah,ആറ്
ro,ro
kahchahrohai,കഹ്ചരോഹി
ingeaa,ingeaa
inge,inge
hookah,ഹുക്ക
phookan,phookan
sheesha,ഷീശ
dharu,ധാരു
gudi,പരിച്ഛേദന
dodharugudipe,ദോദ്രുഗുഡിപ്പെ
chhet,ചതി
chet,ചെറ്റ്
chhed,കളിയാക്കുക
ched,ched
deggo,സ്ഥിരതാമസമാക്കുക
007,007
taur,കാള
nahopayega,എടുക്കും
hopayega,പ്രത്യാശിക്കും
phatke,പൊട്ടുന്നു
phlower,പുഷ്പം
phatkephlower,ഫട്കാപ്ലവർ
manojbajpayee,മനോജ്ബാജ്പായി
sardarkhan,സർദാർഖാൻ
consent,സമ്മതം
permissionlenichahiyena,permlenichahiyena
humaqureshi,ഹുമക്രെഷി
mohsinahamid,mohsinahamid
taaoat,taaoat
taqat,പവർ
energy,.ർജ്ജം
richachadda,റിച്ചാചദ്ദ
nagmakhatoon,നാഗഖത്തൂൺ
kehkeloonga,കെഹ്കെലൊഒന്ഗ
kehke,കെഹ്കെ
manjoybajpayee,manjoybajpayee
kaahe,കൊള്ളാം
