bobble,ബോബിൾ
sticker,സ്റ്റിക്കർ
keyboard,കീബോർഡ്
testing tag,പരിശോധന ടാഗ്
this is testing tag,ഇത് ടെസ്റ്റിംഗ് ടാഗ് ആണ്
hello world,ഹലോ വേൾഡ്
love,സ്നേഹം
pyaar,സ്നേഹം
boyfriend,കാമുകൻ
happy,സന്തോഷം
relationship,ബന്ധം
jaan,അതെ
jaanu,അറിയുക
janu,ജനുവരി.
flower,പുഷ്പം
wish,ആഗ്രഹിക്കുന്നു
anniversary,വാർഷികം
sad,ദുഃഖകരമായ
breakup,പിരിഞ്ഞുപോകുക
fight,യുദ്ധം ചെയ്യുക
crying,കരയുന്നു
heartbroken,നെഞ്ചിടിപ്പോടെ
heart,ഹൃദയം
girlfriend,കാമുകി
greeting,അഭിവാദ്യം
proposal,നിർദ്ദേശം
surprised,ആശ്ചര്യപ്പെട്ടു
dhoka,വഞ്ചകൻ
park,പാർക്ക്
thinking,ചിന്തിക്കുന്നതെന്ന്
hopeless,നിരാശ
waiting,കാത്തിരിക്കുന്നു
dil,dil
misunderstanding,തെറ്റിദ്ധാരണ
question,ചോദ്യം
confused,ആശയക്കുഴപ്പം
sawaal,ചോദ്യം
call,വിളി
phone,ഫോൺ
phonecall,ഫോണ് വിളി
angry,ദേഷ്യം
missed,നഷ്‌ടമായി
bird,പക്ഷി
friend,സുഹൃത്ത്
crow,കാക്ക
dost,മതി
sarcasm,പരിഹാസം
cow,പശു
animal,മൃഗം
friends,സുഹൃത്തുക്കൾ
gussa,ദേഷ്യം
work,ജോലി
lies,നുണകൾ
liar,നുണയൻ
monkey,കുരങ്ങൻ
fun,രസകരമാണ്
ginger,ഇഞ്ചി
fruit,ഫലം
anar,പോകാൻ
dance,നൃത്തം
joke,തമാശ
water,വെള്ളം
best friend,ആത്മ സുഹൃത്ത്
rain,മഴ
barish,മഴ
wet,ആർദ്ര
skate board,സ്കേറ്റ് ബോർഡ്
kite,കൈറ്റ്
patang,കൈറ്റ്
playing,കളിക്കുന്നു
maza,എന്ത്
jump,ചാടുക
khel,കളി
hurray,തിരക്കുക
wow,വൗ
OMG,ദൈവമേ
school,സ്കൂൾ
uniform,ഒരേപോലെ
bag,ബാഗ്
study,പഠനം
student,വിദ്യാർത്ഥി
padhai,പഠനങ്ങൾ
party,പാർട്ടി
beach,ബീച്ച്
cool,അടിപൊളി
swim,നീന്തുക
pool,പൂൾ
float,ഫ്ലോട്ട്
swimming,നീന്തൽ
ride,സവാരി
race,ഓട്ടം
hurry,വേഗം
coming,വരുന്നു
scooter,സ്കൂട്ടർ
wait,കാത്തിരിക്കുക
umbrella,കുട
rainy day,മഴയുള്ള ദിവസം
reading,വായന
books,പുസ്തകങ്ങൾ
book,പുസ്തകം
read,വായിക്കുക
enjoy,ആസ്വദിക്കൂ
paper,പേപ്പർ
boat,ബോട്ട്
office,ഓഫീസ്
super trump,സൂപ്പർ ട്രംപ്
donald trump,ഡൊണാൾഡ് ട്രംപ്
wig,വിഗ്
orange hair,ഓറഞ്ച് മുടി
yellow hair,മഞ്ഞ മുടി
usa,യുഎസ്എ
u.s.a,യുഎസ്എ
politicians,രാഷ്ട്രീയക്കാർ
politics,രാഷ്ട്രീയം
hair styles,ഹെയർ സ്റ്റൈലുകൾ
hair drier,ഹെയർ ഡ്രയർ
president,പ്രസിഡന്റ്
the states,സംസ്ഥാനങ്ങൾ
politician,രാഷ്ട്രീയക്കാരൻ
american elections,അമേരിക്കൻ തിരഞ്ഞെടുപ്പ്
elections,തിരഞ്ഞെടുപ്പ്
campaign,കാമ്പെയ്‌ൻ
american elections 2016,അമേരിക്കൻ തിരഞ്ഞെടുപ്പ് 2016
greatest,ഏറ്റവും വലിയ
orange,ഓറഞ്ച്
trump,ട്രംപ്
US,യുഎസ്
campaigns,കാമ്പെയ്‌നുകൾ
funny,തമാശ
hair,മുടി
yellow,മഞ്ഞ
honest,സത്യസന്ധൻ
honesty,സത്യസന്ധത
honest politicians,സത്യസന്ധരായ രാഷ്ട്രീയക്കാർ
america,അമേരിക്ക
leader,നേതാവ്
people,ആളുകൾ
confident,ആത്മവിശ്വാസത്തോടെ
support,പിന്തുണ
political party,രാഷ്ട്രീയ പാർട്ടി
selfie,സെൽഫി
trumpfie,ട്രംപ്ഫി
picture,ചിത്രം
photo,ഫോട്ടോ
camera,ക്യാമറ
donald trump hair,ഡൊണാൾഡ് ട്രംപ് മുടി
trump hair,ട്രംപ് മുടി
silk,പട്ട്
silky,സിൽക്കി
silky hair,സിൽക്കി മുടി
dresser,ഡ്രെസ്സർ
hair style,ഹെയർ സ്റ്റൈൽ
hair dresser,ഹെയർ ഡ്രെസ്സർ
super hero trump,സൂപ്പർ ഹീറോ ട്രംപ്
i am trump,ഞാൻ ട്രംപ് ആണ്
i,i
am,am
american politics,അമേരിക്കൻ രാഷ്ട്രീയം
american election 2016,അമേരിക്കൻ തിരഞ്ഞെടുപ്പ് 2016
rockstar,റോക്ക്സ്റ്റാർ
americans,അമേരിക്കക്കാർ
america elections 2016,അമേരിക്കൻ തിരഞ്ഞെടുപ്പ് 2016
tomorrow,നാളെ
lazy,മടിയൻ
tired,ക്ഷീണിതനാണ്
laidback,ശാന്തമായിരിക്കുക
laze,ലേസ്
procrastination,നീട്ടിവയ്ക്കൽ
procrastinate,നീട്ടിവെക്കുക
delay,കാലതാമസം
morning,രാവിലെ
work day,പ്രവൃത്തി ദിവസം
weekend,വാരാന്ത്യം
off,ഓഫ്
weekends,വാരാന്ത്യങ്ങൾ
holidays,അവധി ദിവസങ്ങൾ
no,ഇല്ല
bath,കുളി
sunday,ഞായറാഴ്ച
weekend holiday,വാരാന്ത്യ അവധി
weekend off,വാരാന്ത്യ അവധി
weekend trip,വാരാന്ത്യ യാത്ര
wash,കഴുകുക
home,വീട്
clothes,വസ്ത്രങ്ങൾ
pyjamas,പൈജാമ
lazy sunday,അലസമായ ഞായറാഴ്ച
best,മികച്ചത്
offs,ഓഫുകൾ
pyjama party,പൈജാമ പാർട്ടി
unwind,പിരിച്ചുവിടുക
relaxing,വിശ്രമിക്കുന്നു
busy,തിരക്ക്
hibernation,ഹൈബർ‌നേഷൻ
sofa,സോഫ
couch,കിടക്ക
couch potato,കിടക്ക ഉരുളക്കിഴങ്ങ്
silence,നിശ്ശബ്ദം
sleeping,ഉറങ്ങുന്നു
lazing,അലസത
unwinding,അറിയാതെ
today,ഇന്ന്
nothing,ഒന്നുമില്ല
doing,ചെയ്യുന്നു
relax,ശാന്തമാകൂ
chilling,ചില്ലിംഗ്
lazy ass,മടിയനായ കഴുത
chill,ചില്ല്
no work,പണിയില്ല
holiday,അവധിദിനം
sundays,ഞായറാഴ്ചകൾ
vacation,അവധിക്കാലം
lazy bum,അലസമായ ബം
eat,കഴിക്കുക
sleep,ഉറക്കം
repeat,ആവർത്തിച്ച്
resting,വിശ്രമിക്കുന്നു
glutton,ആഹ്ലാദം
eating,കഴിക്കുന്നു
hungry,വിശക്കുന്നു
foodie,ഭക്ഷണതല്പരൻ
good morning,സുപ്രഭാതം
sunrise,സൂര്യോദയം
woke,ഉണർന്നു
awake,ഉണരുക
up,മുകളിലേക്ക്
rise up,എഴുന്നേൽക്കുക
day,ദിവസം
in bed,കിടക്കയിൽ
bed,കിടക്ക
sleepy,ഉറക്കം
woke up,ഉണർന്നു
useless,ഉപയോഗശൂന്യമാണ്
vacations,അവധിക്കാലം
saturday,ശനിയാഴ്ച
week off,ആഴ്ച അവധി
idle,നിഷ്‌ക്രിയം
pizza,പിസ്സ
pancakes,പാൻകേക്കുകൾ
food,ഭക്ഷണം
food items,ഭക്ഷണ സാധനങ്ങൾ
indulgence,ആഹ്ലാദം
weekend indulgence,വാരാന്ത്യ ആഹ്ലാദം
rajnikanth,രജനികാന്ത്
rajnikant,രജനീകാന്ത്
thalaiva,മണ്ഡപത്തിൽ
south indian cinema,സൗത്ത് ഇന്ത്യൻ സിനിമ
tamil actor,തമിഴ് നടൻ
tamil movies,തമിഴ് സിനിമകൾ
movies,സിനിമകൾ
south indian,സൗത്ത് ഇന്ത്യൻ
south indian actor,തെന്നിന്ത്യൻ നടൻ
movie dialogues,മൂവി ഡയലോഗുകൾ
understand,മനസ്സിലാക്കുക
better,മികച്ചത്
style,ശൈലി
cant,കഴിയില്ല
stop,നിർത്തുക
stop me,എന്നെ തടയുക
south indian movies,സൗത്ത് ഇന്ത്യൻ സിനിമകൾ
play,കളിക്കുക
ball,പന്ത്
action,പ്രവർത്തനം
drama,നാടകം
kon,കഴിഞ്ഞു
kaun,ആരാണ്
who,ആരാണ്
rok,വര്ഷം
aaram,ബാക്കിയുള്ളവ
time,സമയം
rest,വിശ്രമം
south indian dialogues,സൗത്ത് ഇന്ത്യൻ ഡയലോഗുകൾ
south india,തെക്കേ ഇന്ത്യ
bullet,ബുള്ളറ്റ്
goli,ഗുളിക
fast,വേഗത്തിൽ
tez,സമാഹരിക്കുന്നതിന്
anna,അന്ന
sotuh india,തെക്കേ ഇന്ത്യ
fastest,വേഗതയേറിയത്
faster,വേഗത്തിൽ
rajnikanth jokes,രജനികാന്ത് തമാശകൾ
yanna rascala,yanna rascala
rascala,റാസ്കല
actor,നടൻ
indian actor,ഇന്ത്യൻ നടൻ
lungi,ദീര്ഘമാക്കുക
master,മാസ്റ്റർ
lungi master,ലുങ്കി മാസ്റ്റർ
rajni,രാഷ്ട്രീയക്കാരൻ
lungi dance,ലുങ്കി ഡാൻസ്
chalbaaz,ട്രിക്ക്സ്റ്റർ
movie dialog,മൂവി ഡയലോഗ്
liquor,മദ്യം
booze,മദ്യം
drinking,മദ്യപാനം
drunk,മദ്യപിച്ചു
indian movies,ഇന്ത്യൻ സിനിമകൾ
rajnikanth dialogues,രജനികാന്ത് ഡയലോഗുകൾ
dialogues,ഡയലോഗുകൾ
chamak,തിളങ്ങുക
shine,തിളങ്ങുക
twenty twenty,ഇരുപത് ഇരുപത്
sachin,സച്ചിൻ
batting,ബാറ്റിംഗ്
bowling,ബ ling ളിംഗ്
indian cricket team,ഇന്ത്യൻ ക്രിക്കറ്റ് ടീം
indian cricket,ഇന്ത്യൻ ക്രിക്കറ്റ്
cricket world cup,ക്രിക്കറ്റ് ലോകകപ്പ്
cricketer,ക്രിക്കറ്റ് താരം
sports,സ്പോർട്സ്
cricket fans,ക്രിക്കറ്റ് ആരാധകർ
fan,ഫാൻ
bat,ബാറ്റ്
bowl,പാത്രം
india,ഇന്ത്യ
you,നിങ്ങൾ
balls,പന്തുകൾ
cricket,ക്രിക്കറ്റ്
indian cricketers,ഇന്ത്യൻ ക്രിക്കറ്റ് താരങ്ങൾ
batsman,ബാറ്റ്സ്മാൻ
bowler,ബൗളര്
injury,പരിക്ക്
bowled,പന്തെറിഞ്ഞു
match,പൊരുത്തം
catch,പിടിക്കുക
out,പുറത്ത്
run out,പൂർത്തിയാവുക
cricket match,ക്രിക്കറ്റ് മത്സരം
hit,ഹിറ്റ്
maar,പക്ഷേ
punch,പഞ്ച്
howzzat,ഹ zz സാറ്റ്
indian cricketer,ഇന്ത്യൻ ക്രിക്കറ്റ് താരം
that,അത്
six,ആറ്
sixer,സിക്സും
shot,ഷോട്ട്
clap,കയ്യടി
what,എന്ത്
dont,ചെയ്യരുത്
be,ആകുക
duck,ഡക്ക്
bend,വളയ്ക്കുക
low,താഴ്ന്നത്
sachin tendulkar,സച്ചിൻ ടെൻഡുൽക്കർ
tendulkar,tendulkar
god,ദൈവം
