Love isn't,സ്നേഹം അല്ല
love story,പ്രണയകഥ
If you,നിങ്ങളാണെങ്കിൽ
fall in love,പ്രണയത്തിൽ അകപ്പെടുക
Love in Life,ജീവിതത്തിലെ സ്നേഹം
Make the life beautiful..,ജീവിതം മനോഹരമാക്കുക ..
True Love,യഥാർത്ഥ സ്നേഹം
No doubts,ഒരു സംശയവുമില്ല
blue shrit,നീല ഷർട്ട്
Doraemon,ഡോറമൺ
Jeena ka sahi,ജീവിക്കാനുള്ള അവകാശം
dhang,മന്നർ
sikho tum,നിങ്ങളെ പഠിക്കൂ
iske sung.,അതിന്റെ ആലാപനം
pleasant,സുഖകരമാണ്
cutebaby,ഭംഗിയുള്ള കുഞ്ഞ്
try you,നിങ്ങളെ പരീക്ഷിക്കൂ
will succeed,വിജയിക്കും
Motivational Quote,പ്രചോദനപരമായ ഉദ്ധരണി
Encouraging,പ്രോത്സാഹിപ്പിക്കുന്നു
You To,നിങ്ങൾ ടു
Succeed In Anything,എന്തും വിജയിക്കുക
womb,ഗർഭപാത്രം
Suceed,തുടരുക
Stop Trying,ശ്രമിക്കുന്നത് നിർത്തുക
Suggestions,നിർദ്ദേശങ്ങൾ
Great advice.,മികച്ച ഉപദേശം.
Deciding to,തീരുമാനിക്കുന്നത്
trying to appear,ദൃശ്യമാകാൻ ശ്രമിക്കുന്നു
the same,അതുതന്നെ
Nobita,നോബിറ്റ
Nisaan,നിസ്സാൻ
My mistake,എന്റെ തെറ്റ്
Baby i 'm,ബേബി ഞാൻ
inconvenience,അസൌകര്യം
Sorry Guys,ക്ഷമിക്കണം, സഞ്ചി
Disgusting!,വെറുപ്പുളവാക്കുന്ന!
Forgiving,ക്ഷമിക്കുന്നു
is not,അല്ല
forgetting,മറക്കുന്നു
remain alive,ജീവനോടെയിരിക്കുക
adieu,adieu
bye-bye,ബൈ ബൈ
good day,ശുഭദിനം
nipple,മുലക്കണ്ണ്
brew,ചേരുവ
refreshment,ഉന്മേഷം
biting,കടിക്കുന്നു
chilly,മുളക്
belch,ഏമ്പക്കം വിടുക
indianbaby,indianbaby
littlebaby,ചെറിയ കുഞ്ഞ്
cuteson,cuteson
hellobaby,ഹലോബാബി
hibaby,ഹിബാബി
love friends,സുഹൃത്തുക്കളെ സ്നേഹിക്കുക
mate girlfriend,ഇണയുടെ കാമുകി
jigri,അത് സംഭവിക്കുന്നു
sibling,സഹോദരൻ
rhyming slangskin,റൈമിംഗ് സ്ലാങ്‌സ്‌കിൻ
working together,ഒരുമിച്ച് പ്രവർത്തിക്കുന്നു
characters,പ്രതീകങ്ങൾ
japan cartoon,ജപ്പാൻ കാർട്ടൂൺ
accept,അംഗീകരിക്കുക
adopt,ദത്തെടുക്കുക
appoint,നിയമിക്കുക
determine,നിർണ്ണയിക്കുക
japan girls,ജപ്പാൻ പെൺകുട്ടികൾ
organization,സംഘടന
nickname,വിളിപ്പേര്
signature,കയ്യൊപ്പ്
term,ടേം
fondness,സ്നേഹം
devotion,ഭക്തി
infatuation,മതിമോഹം
tenderness,ആർദ്രത
emperor,ചക്രവർത്തി
monarch,രാജാവ്
bikegirl,ബികാഗിറൽ
catgirl,catgirl
japangirl,japangirl
japanboy,ജപ്പാൻ‌ബോയ്
designate,നിയുക്തമാക്കുക
hook,ഹുക്ക്
finest,മികച്ചത്
leading,നയിക്കുന്നു
outstanding,കുടിശ്ശിക
Olympic Skills,ഒളിമ്പിക് കഴിവുകൾ
athelets,അത്ലറ്റുകൾ
toy hoop,കളിപ്പാട്ട വളവ്
twirled around,ചുറ്റും വളഞ്ഞു
waist,അരക്കെട്ട്
storytelling dance,കഥ പറയുന്ന നൃത്തം
hoopdance,hoopdance
weight loose,ഭാരനഷ്ടം
India sports,ഇന്ത്യ സ്പോർട്സ്
is best,മികച്ചതാണ്
gymnastics,ജിംനാസ്റ്റിക്സ്
weight training,ഭാരോദ്വഹനം
games motivation,ഗെയിമുകളുടെ പ്രചോദനം
practice practising,പരിശീലിക്കുക
never lose,ഒരിക്കലും നഷ്ടപ്പെടരുത്
gold silver,സ്വർണ്ണം വെള്ളി
bronze,വെങ്കലം
athletes,അത്ലറ്റുകൾ
chakka chauka,സിക്സർ ഫോറുകൾ
motivating,പ്രചോദനം
luck  leader,ഭാഗ്യ നേതാവ്
caricature,കാരിക്കേച്ചർ
comic strip,കോമിക്ക് സ്ട്രിപ്പ്
japan,ജപ്പാൻ
with ghost,പ്രേതവുമായി
framework of bone,അസ്ഥിയുടെ ചട്ടക്കൂട്
the human skeleton,മനുഷ്യ അസ്ഥികൂടം
framestar,ഫ്രെയിംസ്റ്റാർ
women power,സ്ത്രീ ശക്തി
shaadi ke,വിവാഹത്തിന്റെ
tayyar ho,സ്ട്രീം ആണ്
shaadi barbadi,വിവാഹ നാശം
do you,നീ
punjaban,പഞ്ചാബൻ
kuyun,കുയൂൺ
late ho,വൈകി
your servant,നിന്റെ ദാസൻ
naukarni,വേലക്കാരി
excuse me,എക്സ്ക്യൂസ് മീ
i am manjith singh,ഞാൻ മഞ്ജിത്ത് സിംഗ്
my address,എന്റെ വിലാസം
is sector 17,സെക്ടർ 17 ആണ്
babyy,ബേബി
out loudly,ഉറക്കെ
daddi,ഡാഡി
muchahe,അക്കേഷ്യ
status,പദവി
posts,പോസ്റ്റുകൾ
messages,സന്ദേശങ്ങൾ
weblinks,വെബ്‌ലിങ്കുകൾ
invites,ക്ഷണിക്കുന്നു
pokes,പോക്കുകൾ
blue top,നീല ടോപ്പ്
royal blue\,രാജകീയ നീല\
royalness,രാജകീയത
old woman,വയസ്സായ സ്ത്രീ
atrocious,ക്രൂരത
crummy,നുറുക്ക്
dreadful,ഭയങ്കര
bajena chaiye,അവ യഥാർത്ഥമാണ്
ganaa,എണ്ണം
gana gana ganaaa,win win win
playing it,അത് കളിക്കുന്നു
continously,തുടർച്ചയായി
lets do,നമുക്ക് ചെയ്യാം
something different,എന്തോ പ്രത്യേകതയുള്ളത്
hatke,കൈയിലേക്ക്
wear this,ഇത് ധരിക്കുക
life will,ജീവിതം
be awesome,ആകർഷകമായിരിക്കുക
earnings,വരുമാനം
red hot dress,ചുവന്ന ചൂടുള്ള വസ്ത്രധാരണം
hotness overloaded,ഹോട്ട്നെസ് ഓവർലോഡ്
lets hold,പിടിക്കാൻ അനുവദിക്കുന്നു
whole,മുഴുവനും
palms,തെങ്ങുകൾ
obama,ഒബാമ
ruling,ഭരിക്കുന്നു
leadership,നേതൃത്വം
saus,സോസ്
chili tomato sauce,മുളക് തക്കാളി സോസ്
sandwhich,സാൻ‌ഡ്‌വിച്ച്
tastier,രുചിയുള്ള
maggiee,മാഗി
choolate,ചോക്ലേറ്റ്
is melting,ഉരുകുകയാണ്
for alpenliebe,ആൽപെൻ‌ലീബിനായി
beautiful women,സുന്ദരികളായ സ്ത്രീകൾ
airel,ജാഗ്രത
stain,കറ
dirty stains,വൃത്തികെട്ട കറ
shirts,ഷർട്ടുകൾ
top load,ടോപ്പ് ലോഡ്
front load,ഫ്രണ്ട് ലോഡ്
washing powder,അലക്ക് പൊടി
bigg wala,ബിഗ് വാല
toing !!,ടോയിംഗ് !!
sad women,ദു sad ഖിതരായ സ്ത്രീകൾ
khichna,വലിക്കാൻ
bedsheet,ബെഡ് ഷീറ്റ്
cold drink,തണുത്ത പാനീയം
summer time,വേനൽക്കാലം
stunts,സ്റ്റണ്ടുകൾ
chakle zara,അല്പം
salman da fan,സൽമാനും ആരാധകനും
awesome for,ആകർഷകമാണ്
white clothes,വെളുത്ത വസ്ത്രങ്ങൾ
drops,തുള്ളികൾ
washing technique,വാഷിംഗ് ടെക്നിക്
washing liquid,വാഷിംഗ് ലിക്വിഡ്
white shirt,വെള്ള ഷർട്ട്
is enough,മതി
haapy face,സന്തോഷമുള്ള മുഖം
less strain,കുറവ് ബുദ്ധിമുട്ട്
easy to use,ഉപയോഗിക്കാൻ എളുപ്പമാണ്
cute kitty,ക്യൂട്ട് കിറ്റി
white small dog,വെളുത്ത ചെറിയ നായ
\women,\ സ്ത്രീകൾ
muchawale,പ്രകാശം
acha nai,ace na
jo bhi,എന്തായാലും
baatb karna,സംസാരിക്കാൻ
haath se,കൈകൊണ്ട്
lady in,ലേഡി ഇൻ
girl in black,കറുത്ത നിറത്തിലുള്ള പെൺകുട്ടി
hanbag,ഹാൻഡ്‌ബാഗ്
ghar science,ഹ Science സ് സയൻസ്
se nai,ഏറ്റവും കൂടുതൽ ആകുക
home science,ഹോം സയൻസ്
chalta,നടക്കുന്നു
runs not,ഓടുന്നില്ല
due to science,ശാസ്ത്രം കാരണം
due to,കാരണം
home science.,ഹോം സയൻസ്.
the kapil sharma show,കപിൽ ശർമ്മ ഷോ
bitto,ബിറ്റ്
2 min,2 മിനിറ്റ്
quick to eat,വേഗത്തിൽ കഴിക്കുക
ready to make,നിർമ്മിക്കാൻ തയ്യാറാണ്
kaappuu,ശിഎല്ദിന്ഗ് വേണ്ടി
wifey,ഭാര്യ
fulfilling demands,ആവശ്യങ്ങൾ നിറവേറ്റുന്നു
malls,മാളുകൾ
jewelleries,ആഭരണങ്ങൾ
shaadi ke phele,വിവാഹത്തിന് മുമ്പ്
before mariiage,വിവാഹത്തിന് മുമ്പ്
after marriage,വിവാഹശേഷം
cermony,ചടങ്ങ്
haldi,കസ്റ്റഡിയിൽ
rasam,rasam
mehendi,മെഹെന്ദി
expenses,ചെലവുകൾ
pati,സ്വയം
unlog ka,അവയിൽ
raja hai,രാജാവ് ഹായ്
king of all,എല്ലാവരുടെയും രാജാവ്
husband - wife,ഭർത്താവ് - ഭാര്യ
i wanted,എനിക്ക് വേണം
simple,ലളിതം
hsuband,ഭർത്താവ്
like you,നിങ്ങളെ ഇഷ്ടപ്പെടുന്നു
compalint,പരാതി
]not like you,]നിങ്ങളെപ്പോലെ അല്ല
lady of house,വീട്ടിലെ സ്ത്രീ
kahavat,പഴഞ്ചൊല്ല്
happy girl,സന്തോഷവതിയായ പെൺകുട്ടി
happy lady,സന്തോഷവതിയായ സ്ത്രീ
nanniji,എന്ത് പരിപാലനം
ginger that,ഇഞ്ചി അത്
growing from,മുതൽ വളരുന്നു
any side,ഏത് വശവും
phelana,ഫെലാന
spreading,പടരുന്ന
badhana,വർദ്ധിപ്പിക്കാൻ
disaster,ദുരന്തം
kapusharma,കപുശര്മ
simpsons,സിംപ്‌സൺസ്
frank family,ഫ്രാങ്ക് കുടുംബം
MattGroening,മത്ത്ഗ്രൊഎനിന്ഗ്
comical,കോമിക്കൽ
Springfield.,സ്പ്രിംഗ്ഫീൽഡ്.
in bits and pieces,കഷണങ്ങളായി
piece by piece,കഷണം കഷ്ണമായി
approved,അംഗീകരിച്ചു
good work,നല്ല ജോലി
yippy,yippy
ya ho,ഓ
and calm,ശാന്തത
Woo,വൂ
Hoo!,അവൻ!
asked,ചോദിച്ചു
kuch bhi,എന്തും
ainvay bolneka,ഉറക്കെ സംസാരിക്കാൻ
pakkav,പക്കവെ
dare to,ആരുമായി
yoyo honey singh,യോയോ തേൻ സിംഗ്
knees,കാൽമുട്ടുകൾ
is he,അവനാണോ
giving you,നിങ്ങൾക്ക് തരുന്നു
woh kya,അതെന്താണ്
deraha hai,വൈകി
angry mood,ദേഷ്യം നിറഞ്ഞ മാനസികാവസ്ഥ
mooddy,ഭ്രാന്തൻ
royal blue shirt,രാജകീയ നീല ഷർട്ട്
more time,കൂടുതൽ സമയം
titan,ടൈറ്റൻ
rolex,റോളക്സ്
fast track,വേഗത്തിലുള്ള ട്രാക്ക്
men's watch,പുരുഷന്മാരുടെ വാച്ച്
bas hua,അവൻ മാത്രമാണ്
bhaut der,വളരെ വൈകി
karahe ho,നിങ്ങൾ എന്താണ് ചെയ്യുന്നത്
want to,ആഗ്രഹിക്കുന്നു
actually,യഥാർത്ഥത്തിൽ
kya chahte ho,നിങ്ങൾക്ക് എന്താണ് വേണ്ടത്
saaf saaf bolo,വ്യക്തമായി സംസാരിക്കുക
be clear,വ്യക്തമായിരിക്കുക
from here,ഇവിടെ നിന്ന്
dont stay,താമസിക്കരുത്
in front,മുന്നിൽ
of my eyes,എന്റെ കണ്ണുകളിൽ
just leave it,അത് ഉപേക്ഷിക്കുക
go from here,ഇവിടെ നിന്ന് പോകുക
come back,തിരിച്ചുവാ
from,മുതൽ
bunking,ബങ്കിംഗ്
dont say,പറയരുത്
two of,രണ്ട്
them,അവ
are talking,സംസാരിക്കുന്നു
keep your,സൂക്ഷിക്കുക
mouth,വായ
okkk,ജോക്ക്
are now,ഇപ്പോൾ
weak,ദുർബലമാണ്
not strong,ശക്തമല്ല
kacha nimbu\,അസംസ്കൃത നാരങ്ങ
kuddos,കുടുംബശ്രീ
bachkani harkat,ബാലിശമായ പ്രവൃത്തി
you count,നിങ്ങൾ എണ്ണുന്നു
10 numbers',10 അക്കങ്ങൾ '
speed,വേഗത
high speed,ഉയർന്ന വേഗത
bas agaya,ലഭിച്ചു
aaj ke,ഇന്നത്തെ
baad,ചിലത്
aapko,നിങ്ങൾക്ക്
complaint,പരാതി
accusation,ആരോപണം
dialog bollywood,ബോളിവുഡ് ഡയലോഗ്
hindi movie,ഹിന്ദി സിനിമ
inclination,ചെരിവ്
overjoyed,സന്തോഷിച്ചു
apologetic,ക്ഷമാപണം
contrite,contrite
touched,തൊട്ടു
old film,പഴയ സിനിമ
succhi,പഴച്ചാറുകൾ
apne,ഞങ്ങളുടെ
lag jaati h,തോന്നുന്നു
bureaucratic,ബ്യൂറോക്രാറ്റിക്
neta,മെറ്റീരിയൽ
samba,സാംബ
political,രാഷ്ട്രീയ
not give,നൽകരുത്
bnana,നിർമ്മിക്കാൻ
indian neta,ഇന്ത്യൻ നെത
bahart,ബഹാർട്ട്
country,രാജ്യം
without,കൂടാതെ
nightmare,പേടിസ്വപ്നം
imagination,ഭാവന
slef,സ്ലെഫ്
effort,പരിശ്രമം
endeavor,ശ്രമം
how are you,എന്തൊക്കെയുണ്ട്
block,തടയുക
pause,താൽക്കാലികമായി നിർത്തുക
itt,ഇവിടെ
barricade,ബാരിക്കേഡ്
equitable,നീതി
doesnot,ചെയ്യരുത്
in the trees,മരങ്ങളിൽ
papaji,പപ്പാജി
angry dad,ദേഷ്യപ്പെട്ട അച്ഛൻ
you considered,നിങ്ങൾ പരിഗണിച്ചു
home as,വീട് പോലെ
hotel?,ഹോട്ടൽ?
hotels,ഹോട്ടലുകൾ
bapuji,ബാപ്പു
from the,മുതൽ
neighbourhood,അയല്പക്കം
padhosi,അയയ്‌ക്കുക
bajuwale,ബജുവാലെ
sikho,പഠിക്കുക
good manners,നല്ലപെരുമാറ്റം
blue sweeter,നീല സ്വെറ്റർ
values,മൂല്യങ്ങൾ
bheaving,ബീവിംഗ്
good to,നല്ലത്
anymore,ഇനി
nai raha,ആയിരുന്നില്ല
nomore,കൂടുതലൊന്നുമില്ല
flying dad,പറക്കുന്ന അച്ഛൻ
